Company,CUSIP,Shares,Value,Discretion
ADT INC,00090Q103,6150000,41328000,SOLE
AES CORP,00130H105,900,16137,SOLE
ALPHABET INC,02079K305,650000,98104500,SOLE
APOLLO GLOBAL MANAGEMENT INC,03769M106,1625000,182731250,SOLE
ARBOR REALTY TRUST INC,038923108,2381194,31550821,SOLE
ASHLAND INC,044186104,982047,95621916,SOLE
BARINGS BDC INC,06759L103,2643,24580,SOLE
CITIGROUP INC,172967424,300000,18972000,SOLE
COMMSCOPE HOLDING CO INC,20337X109,265710,348080,SOLE
CRESCENT CAPITAL BDC INC,225655109,400377,6910507,SOLE
DEVON ENERGY CORP,25179M103,2200000,110396000,SOLE
DIAMEDICA THERAPEUTICS INC,25253X207,883623,2447636,SOLE
DT MIDSTREAM INC,23345M107,634770,38784447,SOLE
ELEVANCE HEALTH INC,036752103,130000,67410200,SOLE
ELLINGTON FINANCIAL INC,28852N109,150000,1771500,SOLE
ENERGY TRANSFER LP,29273V100,12060300,189708519,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,916535,26744491,SOLE
FIDELIS INSURANCE HOLDINGS L,G3398L118,2012523,39203948,SOLE
FINANCE OF AMERICA COS INC,31738L107,6000000,4410600,SOLE
FISERV INC,337738108,480000,76713600,SOLE
FRANKLIN TEMPLETON ETF TR,35473P827,5750,199468,SOLE
GANNETT CO INC,36472T109,3969393,9685319,SOLE
ISHARES TR,46434V738,38388,2220746,SOLE
ISHARES INC,464286509,12531,479687,SOLE
ISHARES TR,464287465,60937,4866429,SOLE
ISHARES INC,46434G822,14305,1020662,SOLE
ISHARES INC,464286665,7610,325784,SOLE
ISHARES INC,464286392,3329,482405,SOLE
KBR INC,48242W106,550000,35013000,SOLE
LAS VEGAS SANDS CORP,517834107,1310000,67727000,SOLE
LITHIA MOTORS INC,536797103,416085,125183333,SOLE
MADISON SQUARE GARDEN SPORTS,55825T103,20000,3690400,SOLE
MANCHESTER UNITED PLC,G5784H106,1912495,26698430,SOLE
MICROSOFT CORP,594918104,245705,103373008,SOLE
MIRION TECHNOLOGIES INC,60471A101,7513400,85427358,SOLE
MOTOROLA SOLUTIONS INC,620076307,100000,35498000,SOLE
MP MATERIALS CORP,553368101,2400000,34320000,SOLE
MR COOPER GROUP INC,62482R107,3054000,238059300,SOLE
BLUE OWL CAPITAL CORP,69121K104,12000,184560,SOLE
ONEMAIN HOLDINGS INC,68268W103,62824,3209678,SOLE
PHX MINERALS INC,69291A100,8950,30520,SOLE
REGAL REXNORD CORP,758750103,600000,108060000,SOLE
SEA LTD,81141R100,240000,12890400,SOLE
SUNOPTA INC,8676EP108,4985000,34246950,SOLE
THE CIGNA GROUP,125523100,270655,98299189,SOLE
VANGUARD INTL EQUITY INDEX F,922042874,24693,1662827,SOLE
VANGUARD SCOTTSDALE FDS,92206C706,25029,1465448,SOLE
VANGUARD INDEX FDS,922908363,45173,21714661,SOLE
VANGUARD MUN BD FDS,922907746,12876,651526,SOLE
VERTIV HOLDINGS CO,92537N108,2100000,171507000,SOLE
WILLSCOT MOBILE MINI HOLDING,971378104,2987500,138918750,SOLE
