Company,CUSIP,Shares,Value,Discretion
ACUREN CORP,00510N102,34360000,379334400,SOLE
ADAPTIVE BIOTECHNOLOGIES COR,00650F109,29993708,349426698,SOLE
ADVANCED MICRO DEVICES INC,007903107,1910571,271110025,SOLE
AIR PRODS & CHEMS INC,009158106,2154154,607600677,SOLE
AMAZON COM INC,023135106,3897092,854983014,SOLE
AMER SPORTS INC,G0260P102,3880649,150413955,SOLE
AMERICAN INTL GROUP INC,026874784,1815785,155413038,SOLE
AMERICAN TOWER CORP NEW,03027X100,2797125,618220568,SOLE
API GROUP CORP,00187Y100,11537518,588990294,SOLE
APPLOVIN CORP,03831W108,372973,130570388,SOLE
BANK AMERICA CORP,060505104,31246972,1478606715,SOLE
BIOMARIN PHARMACEUTICAL INC,09061G101,12288611,675504947,SOLE
BLACKROCK INC,09290D101,195104,204712872,SOLE
BLOCK INC,852234103,5420475,368212867,SOLE
BOEING CO,097023105,2835065,594031169,SOLE
BOSTON SCIENTIFIC CORP,101137107,3045764,327145511,SOLE
BRIDGEBIO PHARMA INC,10806X102,18555375,801221093,SOLE
CAMDEN PPTY TR,133131102,2716022,306068519,SOLE
CAPITAL ONE FINL CORP,14040H105,5671358,1206638128,SOLE
CARNIVAL CORP,143658300,13207267,371388348,SOLE
CARVANA CO,146869102,1077976,363234793,SOLE
CENCORA INC,03073E105,2081732,624207340,SOLE
CHIPOTLE MEXICAN GRILL INC,169656105,5688483,319408320,SOLE
CME GROUP INC,12572Q105,597374,164648222,SOLE
COSTAR GROUP INC,22160N109,3218568,258772867,SOLE
CSX CORP,126408103,18871882,615789510,SOLE
D R HORTON INC,23331A109,2827032,364460965,SOLE
DANAHER CORPORATION,235851102,2907515,574350513,SOLE
DISNEY WALT CO,254687106,5848066,725218665,SOLE
ELI LILLY & CO,532457108,416918,325000089,SOLE
ESTABLISHMENT LABS HLDGS INC,G31249108,343465,14669390,SOLE
FERRARI NV,N3167Y103,721269,353526390,SOLE
FIRST SOLAR INC,336433107,2266050,375121917,SOLE
FLUTTER ENTMT PLC,G3643J108,2284905,652934453,SOLE
FORTIVE CORP,34959J108,15912624,829525089,SOLE
GALLAGHER ARTHUR J & CO,363576109,725795,232341495,SOLE
GENERAL MTRS CO,37045V100,13018874,640658790,SOLE
GINKGO BIOWORKS HOLDINGS INC,37611X209,3577128,40242690,SOLE
HCA HEALTHCARE INC,40412C101,1872133,717214152,SOLE
HEALTHEQUITY INC,42226A107,219746,23020591,SOLE
INHIBRX BIOSCIENCES INC,45720N103,1787705,25510550,SOLE
INTEGER HLDGS CORP,45826H109,1283965,157889176,SOLE
JOHNSON CTLS INTL PLC,G51502105,1450812,153234763,SOLE
JPMORGAN CHASE & CO.,46625H100,4042034,1171826077,SOLE
LENNAR CORP,526057104,2523594,279134732,SOLE
MAPLEBEAR INC,565394103,3752924,169782282,SOLE
MASIMO CORP,574795100,767426,129096402,SOLE
MCDONALDS CORP,580135101,3125432,913157467,SOLE
META PLATFORMS INC,30303M102,265499,195962157,SOLE
METSERA INC,59267L107,1616612,45992611,SOLE
MOLINA HEALTHCARE INC,60855R100,267421,79664716,SOLE
NEWAMSTERDAM PHARMA COMPANY,N62509109,6978534,126381251,SOLE
NIKE INC,654106103,6967198,494949746,SOLE
NVIDIA CORPORATION,67066G104,3681935,581708911,SOLE
ORIC PHARMACEUTICALS INC,68622P109,6572700,66712905,SOLE
PEPGEN INC,713317105,1482434,1645502,SOLE
PHARVARIS N V,N69605108,3653310,64298256,SOLE
PHILIP MORRIS INTL INC,718172109,3454186,629110896,SOLE
PNC FINL SVCS GROUP INC,693475105,2375664,442871283,SOLE
PRIMO BRANDS CORPORATION,741623102,19602116,580614676,SOLE
QUALCOMM INC,747525103,3152866,502125439,SOLE
RALLIANT CORP,750940108,5304195,257200416,SOLE
RALLYBIO CORP,75120L100,4194777,1417835,SOLE
REGAL REXNORD CORPORATION,758750103,3430128,497231355,SOLE
ROIVANT SCIENCES LTD,G76279101,34237779,385859769,SOLE
ROSS STORES INC,778296103,4747639,605703784,SOLE
ROYALTY PHARMA PLC,G7709Q104,2597460,93586484,SOLE
RYAN SPECIALTY HOLDINGS INC,78351F107,1412767,96054028,SOLE
SAIA INC,78709Y105,827659,226770289,SOLE
SCHWAB CHARLES CORP,808513105,15773225,1439149049,SOLE
SEA LTD,81141R100,3536987,565705701,SOLE
SHERWIN WILLIAMS CO,824348106,1957750,672213040,SOLE
SIONNA THERAPEUTICS INC,829401108,3195181,55436390,SOLE
STANDARD BIOTOOLS INC,34385P108,58651170,70381404,SOLE
T-MOBILE US INC,872590104,2845316,677924990,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,4329295,980542025,SOLE
TESLA INC,88160R101,1100331,349531145,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,11681333,195779141,SOLE
THE TRADE DESK INC,88339J105,2674320,192524297,SOLE
TREVI THERAPEUTICS INC,89532M101,1543000,8440210,SOLE
UBS GROUP AG,H42097107,2580412,87320010,SOLE
US BANCORP DEL,902973304,24089428,1090046617,SOLE
VISA INC,92826C839,1620722,575437346,SOLE
