Company,CUSIP,Shares,Value,Discretion
ADVANCE AUTO PARTS INC,00751Y106,1500100,127233982,SOLE
ALPHABET INC,02079K305,3000000,452790000,SOLE
AMAZON COM INC,023135106,5100000,919938000,SOLE
AMERICAN INTL GROUP INC,026874784,3450000,269686500,SOLE
APOLLO GLOBAL MGMT INC,03769M106,1000000,112450000,SOLE
APOLLO GLOBAL MGMT INC,03769M304,900000,57375000,SOLE
AURORA INNOVATION INC,051774115,1835000,495450,SOLE
AURORA INNOVATION INC,051774107,1032463,2911546,SOLE
BATH & BODY WORKS INC,070830104,12850000,642757000,SOLE
CINEMARK HLDGS INC,17243V102,5000000,89850000,SOLE
CORPAY INC,219948106,650000,200551000,SOLE
DANAHER CORPORATION,235851102,2050000,511926000,SOLE
EQT CORP,26884L109,1950000,72286500,SOLE
FERGUSON PLC NEW,G3421J106,1090000,238088700,SOLE
FLYEXCLUSIVE INC,343928115,367499,158025,SOLE
FLYEXCLUSIVE INC,343928107,1022000,4415040,SOLE
GARTNER INC,366651107,55000,26216850,SOLE
GLOBAL BLUE GROUP HOLDING AG,H33700115,1333333,45067,SOLE
GLOBAL BLUE GROUP HOLDING AG,H33700107,8387601,43951029,SOLE
GOLDMAN SACHS GROUP INC,38141G104,250000,104422500,SOLE
HERTZ GLOBAL HLDGS INC,42806J148,3970000,17626800,SOLE
INTERCONTINENTAL EXCHANGE IN,45866F104,1000000,137430000,SOLE
INTERNATIONAL FLAVORS&FRAGRA,459506101,1400000,120386000,SOLE
JACOBS SOLUTIONS INC,46982L108,1750000,269027500,SOLE
JAWS MUSTANG ACQUISITION COR,G50737124,1000000,215000,SOLE
MARVELL TECHNOLOGY INC,573874104,1525000,108001263,SOLE
META PLATFORMS INC,30303M102,1236000,600176880,SOLE
MICROSOFT CORP,594918104,1765000,742570800,SOLE
NET POWER INC,64107A113,500000,1450000,SOLE
PATTERSON-UTI ENERGY INC,703481101,150000,1791000,SOLE
PG&E CORP,69331C108,57860000,969733600,SOLE
S&P GLOBAL INC,78409V104,335000,142525750,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1175000,159858750,SOLE
TELEPHONE & DATA SYS INC,879433829,2136832,34232049,SOLE
TELEPHONE & DATA SYS INC,879433829,750000,12015000,SOLE
UBER TECHNOLOGIES INC,90353T100,500000,38495000,SOLE
UNITED STATES CELLULAR CORP,911684108,545344,19905056,SOLE
VERIZON COMMUNICATIONS INC,92343V104,4675000,193036828,SOLE
VISTRA CORP,92840M102,4470000,311335500,SOLE
WESCO INTL INC,95082P105,525200,89956256,SOLE
