Company,CUSIP,Shares,Value,Discretion,PutCall
ABBOTT LABORATORIES,002824100,47262,4288554,SOLE,
ABBVIE INC,00287Y109,39070,9831624,SOLE,
ACCENTURE PLC IRELAND,G1151C101,12287,1528994,SOLE,
AFLAC INC,001055102,6264,734451,SOLE,
ALPHABET INC,02079K107,135829,47992287,SOLE,
ALPHABET INC,02079K305,3907,1396412,SOLE,
AMAZON COM INC,023135106,133816,31893797,SOLE,
AMERICAN ELEC PWR CO INC,025537101,154488,21135545,SOLE,
AMERICAN EXPRESS CO,025816109,2836,959279,SOLE,
AMGEN INC,031162100,102817,37231920,SOLE,
AMPHENOL CORP,032095101,3056,538834,SOLE,
AON PLC,G0403H108,648,214935,SOLE,
APPLE INC,037833100,152173,44032645,SOLE,
APPLIED MATLS INC,038222105,48044,34735861,SOLE,
AST SPACEMOBILE INC,00217D100,5380,478067,SOLE,
AUTOMATIC DATA PROCESSING IN,053015103,56001,12541424,SOLE,
BANK OF AMER CORP,060505104,52984,3019011,SOLE,
BANK OF NY MELLON CORP,064058100,174849,25284959,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,11645,5827042,SOLE,
BROADCOM INC,11135F101,1118,422325,SOLE,
CAPITAL ONE FINL CORP,14040H105,3178,637570,SOLE,
COLGATE PALMOLIVE CO,194162103,2383,218473,SOLE,
COMCAST CORP NEW,20030N101,991213,24334272,SOLE,
COMPUGEN LTD,M25722105,93833,200803,SOLE,
CONSTELLATION BRANDS INC,21036P108,74277,10331188,SOLE,
COSTCO WHOLESALE CORPORATION,22160K105,551,515137,SOLE,
CVS HEALTH CORP,126650100,6175,638804,SOLE,
DANAHER CORP DEL,235851102,1681,320197,SOLE,
EA SERIES TRUST,02072Q812,400490,54219317,SOLE,
EATON CORP PLC,G29183103,862,367315,SOLE,
ELI LILLY & CO,532457108,311,372488,SOLE,
EXXON MOBIL CORP,30231G102,3749,512595,SOLE,
GENERAC HLDGS INC,368736104,107043,31343261,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,22185,22436875,SOLE,
HOME DEPOT INC,437076102,64544,22763405,SOLE,
INTERNATIONAL BUSINESS MACHS,459200101,755,212450,SOLE,
