Company,CUSIP,Shares,Value,Discretion
ABM INDS INC,000957100,415889,21031507,SOLE
ACUITY BRANDS INC,00508Y102,1460,352502,SOLE
ADIENT PLC,G0084W101,1948349,48143704,SOLE
ADVANCE AUTO PARTS INC,00751Y106,1210503,76661155,SOLE
ALIBABA GROUP HLDG LTD,01609W102,65625,4725020,SOLE
AMBEV SA,02319V103,18385312,37689890,SOLE
AMDOCS LTD,G02602103,132504,10457216,DFND
AMDOCS LTD,G02602103,5535099,436830013,SOLE
AMERICAN INTL GROUP INC,026874784,475206,35279293,SOLE
AMERICAN WOODMARK CORPORATIO,030506109,303918,23887955,SOLE
ARCELORMITTAL SA LUXEMBOURG,03938L203,25085,575189,SOLE
ARROW ELECTRS INC,042735100,221245,26717546,SOLE
ASSOCIATED BANC CORP,045487105,2510879,53105091,SOLE
ATMOS ENERGY CORP,049560105,2709,316005,SOLE
AVNET INC,053807103,8576821,441620513,SOLE
AXALTA COATING SYS LTD,G0750C108,1859806,63549571,SOLE
AXIS CAP HLDGS LTD,G0692U109,1519972,107386022,SOLE
BAIDU INC,056752108,309581,26772565,SOLE
BANK AMERICA CORP,060505104,343426,13658052,DFND
BANK AMERICA CORP,060505104,19489871,775112170,SOLE
BARCLAYS PLC,06738E204,97592,1045207,SOLE
BAXTER INTL INC,071813109,486104,16260179,DFND
BAXTER INTL INC,071813109,30336900,1014769305,SOLE
BELDEN INC,077454106,744020,69789076,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,637408,28402900,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,246566,10239886,DFND
BRISTOL-MYERS SQUIBB CO,110122108,13887771,576759130,SOLE
C H ROBINSON WORLDWIDE INC,12541W209,877727,77345303,SOLE
CAPITAL ONE FINL CORP,14040H105,104716,14497930,DFND
CAPITAL ONE FINL CORP,14040H105,6827832,945313340,SOLE
CARDINAL HEALTH INC,14149Y108,664657,65349076,SOLE
CBRE GROUP INC,12504L109,671038,59796196,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,41416,12381727,DFND
CHARTER COMMUNICATIONS INC N,16119P108,2982173,891550440,SOLE
