Company,CUSIP,Shares,Value,Discretion
"Agilent Technologies, Inc. (A)",00846U101,10700,1556957,SOLE
Arrow Electronics Inc (ARW),042735100,1850828,239608193,SOLE
Avnet Inc (AVT),053807103,3858537,191306264,SOLE
Berkshire Hathaway Inc. Class B (BRK/B),084670702,1001,420941,SOLE
Citigroup Inc (C),172967424,16291760,1030290902,SOLE
CRH PLC (CRH),G25508105,11028797,951344029,SOLE
"D R Horton, Inc. (DHI)",23331A109,3587993,590404248,SOLE
Technipfmc PLC (FTI),G87110105,15500,389205,SOLE
Genpact LTD (G),G3922B107,1087635,35837573,SOLE
General Motors Co (GM),35045V100,23154158,1050041065,SOLE
Goldman Sachs (GS),38141G104,2296177,959090171,SOLE
International Paper Co (IP),460146103,10165385,396653323,SOLE
J P Morgan Chase (JPM),46625H100,4626384,926664715,SOLE
Lear Corporation (LEA),521865204,1799060,260647813,SOLE
Lennar Corporation - A (LEN),526057104,8933457,1536375935,SOLE
Lennar Corporation - B SHS (LEN/B),526057302,516800,79680224,SOLE
3M Company (MMM),88579Y101,2368,251174,SOLE
Morgan Stanley (MS),617446448,10000,941600,SOLE
Meritage Homes Corp (MTH),59001A102,826905,145088751,SOLE
NOV INC (NOV),62955J103,1798976,35116012,SOLE
Oshkosh Corp (OSK),688239201,2480089,309291899,SOLE
PulteGroup Inc. (PHM),745867101,5670818,684014067,SOLE
Charles Schwab Corporation (SCHW),808513105,20000,1446800,SOLE
Terex Corp (TEX),880779103,1476300,95073720,SOLE
"Toll Brothers, Inc. (TOL)",889478103,5512894,713203097,SOLE
Union Pacific Corp (UNP),907818108,2032,499730,SOLE
Westrock CO (WRK),96145D105,12644411,625266124,SOLE
