Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,1286121,228145002,SOLE,
ALPHABET INC,02079K305,2366319,417016397,SOLE,
AMENTUM HOLDINGS INC,023939101,2441743,57649558,SOLE,
AMERICAN EXPRESS CO,025816109,932,297289,SOLE,
ATAI LIFE SCIENCES NV,N0731H103,42112,92225,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,117,85269600,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,326841,158769553,SOLE,
BIO-TECHNE CORP,09073M104,152417,7841855,SOLE,
CAPITAL ONE FINL CORP,14040H105,2117016,450416324,SOLE,
CARMAX INC,143130102,6280,422079,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,386614,158051669,SOLE,
COPA HOLDINGS SA,P31076105,2555,280973,SOLE,
CREDIT ACCEP CORP MICH,225310101,584025,297519856,SOLE,
DOLLAR GEN CORP NEW,256677105,2144,245231,SOLE,
ELEVANCE HEALTH INC,036752103,1095655,426165969,SOLE,
EQUITABLE HLDGS INC,29452E101,40728,2284841,SOLE,
EXPEDITORS INTL WASH INC,302130109,21902,2502304,SOLE,
FERGUSON ENTERPRISES INC,31488V107,1000,217750,SOLE,
GROUP 1 AUTOMOTIVE INC,398905109,3350,1462979,SOLE,
ICON PLC,G4705A100,1708183,248455217,SOLE,
INTERCONTINENTAL EXCHANGE IN,45866F104,2768977,508024210,SOLE,
JACOBS SOLUTIONS INC,46982L108,1072124,140930700,SOLE,
LIBERTY BROADBAND CORP,530307305,1889287,185868055,SOLE,
LIBERTY BROADBAND CORP,530307107,668807,65422701,SOLE,
LIBERTY MEDIA CORP DEL,531229755,5610983,586347724,SOLE,
LIBERTY MEDIA CORP DEL,531229771,748343,71062651,SOLE,
LITHIA MTRS INC,536797103,2716,917519,SOLE,
META PLATFORMS INC,30303M102,397558,293433584,SOLE,
MICRON TECHNOLOGY INC,595112103,2162,266467,SOLE,
MICROSOFT CORP,594918104,689,342715,SOLE,
MSA SAFETY INC,553498106,949067,158997195,SOLE,
NETFLIX INC,64110L106,606,811513,SOLE,
REPUBLIC SVCS INC,760759100,817,201480,SOLE,
RIMINI STR INC DEL,76674Q107,37955,143090,SOLE,
S&P GLOBAL INC,78409V104,531,279991,SOLE,
SCHWAB CHARLES CORP,808513105,6598822,602076519,SOLE,
SINCLAIR INC,829242106,17959,248193,SOLE,
STELLANTIS N.V,N82405106,39677,397960,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1917681,434335570,SOLE,
UNITEDHEALTH GROUP INC,91324P102,763439,238170065,SOLE,
VANGUARD INDEX FDS,922908769,2551,775325,SOLE,
VANGUARD INDEX FDS,922908363,682,387396,SOLE,
VANGUARD STAR FDS,921909768,4662,322098,SOLE,
