Company,CUSIP,Shares,Value,Discretion,PutCall
LCI INDUSTRIES,501812AB7,161000,155485,DFND,
BIOXCEL THERAPEUTICS INC,09075P204,241188,436551,DFND,
BLOCK INC,852234AJ2,514000,492540,DFND,
SUNNOVA ENERGY INTERNATIONAL INC,86745KAH7,61469000,768362,DFND,
SEAGATE TECHNOLOGY HOLDINGS PLC,81180WBL4,500000,900187,DFND,
ALNYLAM PHARMACEUTICALS INC,02043QAB3,750000,976125,DFND,
BLACKLINE INC,09239BAD1,1020000,983075,DFND,
PAGERDUTY INC,69553PAB6,1033000,1033000,DFND,
LANTHEUS HOLDINGS INC,516544AB9,900000,1145475,DFND,
VENTAS INC,92277GAZ0,1000000,1198000,DFND,
UBER TECHNOLOGIES INC,90353TAJ9,1000000,1199500,DFND,
TYLER TECHNOLOGIES INC,902252AB1,1000000,1234000,DFND,
PAR TECHNOLOGY CORP,698884AE3,1100000,1262937,DFND,
GROUPON INC,399473AF4,1336000,1311952,DFND,
SUNNOVA ENERGY INTERNATIONAL INC,86745KAF1,106199000,1327487,DFND,
IRHYTHM TECHNOLOGIES INC,450056AB2,1050000,1349775,DFND,
TRAVERE THERAPEUTICS INC,761299AB2,1377000,1357996,DFND,
BIOMARIN PHARMACEUTICAL INC,09061GAK7,1481000,1399613,DFND,
ESPERION THERAPEUTICS INC,29664WAB1,1463000,1434654,DFND,
BRASKEM SA,105532105,453167,1486387,DFND,
POST HOLDINGS INC,737446AT1,1300000,1487200,DFND,
AMERICAN AIRLINES GROUP INC,02376RAF9,1500000,1501311,DFND,
ASCENDIS PHARMA A/S,04351PAD3,1304000,1635184,DFND,
SNAP INC,83304AAF3,2002000,1816788,DFND,
BENTLEY SYSTEMS INC,08265TAD1,2052000,1940166,DFND,
PG&E CORP,69331CAL2,1975000,1964730,DFND,
HALOZYME THERAPEUTICS INC,40637HAD1,2000000,1997500,DFND,
BLOCK INC,852234AK9,2464000,2208360,DFND,
ON SEMICONDUCTOR CORP,682189AS4,1950000,2315917,DFND,
NOVOCURE LTD,67011XAB9,2385000,2334435,DFND,
REDFIN CORP,75737FAC2,2381000,2334570,DFND,
TOPGOLF CALLAWAY BRANDS CORP,131193AE4,2397000,2339472,DFND,
CLOUDFLARE INC,18915MAC1,2000000,2369700,DFND,
BILL HOLDINGS INC,090043AD2,2722000,2487195,DFND,
SSR MINING INC,784730AB9,2419000,2510317,DFND,
BRIDGEBIO PHARMA INC,10806XAB8,2100000,2622109,DFND,
WAYFAIR INC,94419LAP6,2585000,2952070,DFND,
UNITY SOFTWARE INC,91332UAB7,3216000,3010176,DFND,
SPOTIFY TECHNOLOGY SA,84921RAB6,2000000,3034800,DFND,
NEOGENOMICS INC,64049MAB6,3819000,3279566,DFND,
HERBALIFE LTD,42703MAF0,3742000,3405220,DFND,
JBS NV,N4732M103,238610,3486092,DFND,
PELOTON INTERACTIVE INC,70614WAB6,3669000,3549757,DFND,
SAREPTA THERAPEUTICS INC,803607AD2,4920000,3554700,DFND,
TRANSPORTADORA DE GAS DEL SUR SA,893870204,137630,3564617,DFND,
BANDWIDTH INC,05988JAD5,4301000,3619291,DFND,
CERENCE INC,156727AD1,4865000,3729022,DFND,
NABORS INDUSTRIES LTD,62957HAL9,6500000,3753750,DFND,
REDWOOD TRUST INC,758075AF2,3845000,3808422,DFND,
BATTALION OIL CORP,07134L107,3009912,3882786,DFND,
LI AUTO INC,50202MAB8,3297000,3922190,DFND,
TPI COMPOSITES INC,87266J104,4610003,3961375,DFND,
DUKE ENERGY CORP,26441CBY0,3750000,3972187,DFND,
AFFIRM HOLDINGS INC,00827BAB2,4291000,4039976,DFND,
BANCO MACRO SA,05961W105,60591,4254094,DFND,
HAEMONETICS CORP,405024AB6,4509000,4367502,DFND,
TRIP.COM GROUP LTD,89677QAB3,3996000,4453542,DFND,
OKTA INC,679295AF2,4657000,4466063,DFND,
UBER TECHNOLOGIES INC,90353TAM2,3163000,4527834,DFND,
GUARDANT HEALTH INC,40131MAB5,5017000,4562402,DFND,
HUDSON TECHNOLOGIES INC,444144109,562662,4568815,DFND,
GUESS INC,401617AF2,4923000,4679295,DFND,
TWO HARBORS INVESTMENT CORP,90187BAB7,4765000,4686377,DFND,
ARRAY TECHNOLOGIES INC,04271TAB6,6448000,5130618,DFND,
FIVERR INTERNATIONAL LTD,33835LAA3,5259000,5159091,DFND,
ZIFF DAVIS INC,48123VAE2,5446000,5194122,DFND,
PENNYMAC MORTGAGE INVESTMENT TRUST,70932AAF0,5411000,5375828,DFND,
