Company,CUSIP,Shares,Value,Discretion
ANTERO MIDSTREAM,03676B102,17806,262000,SOLE
ANTERO RESOURCES,03674X106,30156,984000,SOLE
APPLE INC,037833100,2492,525000,SOLE
ASSURED GUARANTY,G0585R106,301087,23228963,SOLE
BANK OF AMERICA,060505104,18837,749412,SOLE
BAYER AG SPONS ADR,072730302,4374455,30795897,SOLE
BP PLC,055622104,1640402,59218953,SOLE
BRISTOL MYERS SQUIBB,110122108,827258,34355534,SOLE
CIGNA GROUP,125523100,476,330570,SOLE
CITIGROUP,172967424,1194852,75825496,SOLE
CHEVRONTEXACO,166764100,1800,282000,SOLE
CREW ENERGY,226533107,145780,457000,SOLE
CSX,126408103,49820,1666000,SOLE
DISNEY,254687106,220903,21932967,SOLE
EXXON MOBIL,30231G102,14326,1649000,SOLE
FAIRFAX FINANCIAL,303901102,1018,1158000,SOLE
FIRST NATL BK OF ALASKA,32112J106,4770,934000,SOLE
GARRETT MOTION,366505105,12229,105000,SOLE
GENIE ENERGY,372284208,291665,4264323,SOLE
GSK PLC,37733W105,1241261,47788450,SOLE
HALEON,405552100,246147,2033344,SOLE
HOLOGIC,436440101,25591,1900332,SOLE
IDT CORP CL B,448947507,331507,11908118,SOLE
IDW MEDIA,44951N106,63940,19605,SOLE
JP MORGAN CHASE,44625H100,3357,679000,SOLE
LIFEWAY FOODS,531914109,10000,128000,SOLE
MERCK,58933Y105,591911,73278768,SOLE
MICROSOFT,594918104,1827,816602,SOLE
MBIA,55262C100,5570263,30580277,SOLE
NAM TAI PROPERTY INC F,G63907102,85330,341000,SOLE
NAVIENT,63938C108,22000,320320,SOLE
NEW YORK COMMUNITY,649445103,12211602,39321607,SOLE
NOVARTIS ADR,66987V109,17581,1871752,SOLE
ORANGE COUNTY BANCORP,68417l107,4000,212000,SOLE
ORGANON,68622V106,1661023,34382763,SOLE
PNC BANK,693475105,1740,271000,SOLE
PFIZER,717081103,1002430,28047789,SOLE
PATTERSON ENERGY,703481101,2320854,24043861,SOLE
PEPSICO,713448108,1900,313000,SOLE
PEYTO EXP & DEV,717046106,17807,190000,SOLE
PINE CLIFF ENERGY,722524105,129731,96000,SOLE
PROCTOR & GAMBLE,742718109,1700,280000,SOLE
PUBLIC SERVICE ENTERPRISE,744573106,4500,332000,SOLE
RAFAEL HOLDING,75062E106,268684,387142,SOLE
SEABOARD CORP,811543107,9225,29158160,SOLE
TRINITY PLACE HOLDINGS,89656D101,1525684,178349,SOLE
VERIZON,92343V104,9774,403000,SOLE
VIATRIS,92556V106,14155,150910,SOLE
VIEWRAY,92672L107,353744,0,SOLE
VOXX INTERNATIONAL,91829F104,1761704,5566803,SOLE
WEBSTER FINL,947890109,20822,908000,SOLE
ZEDGE INC.,98923T104,110870,338265,SOLE
