Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K305,292664,44171778,DFND
ALPHABET INC,02079K107,645800,98329508,DFND
ALIGN TECHNOLOGY INC,016255101,28871,9467378,DFND
AMETEK INC,031100100,927977,169726993,DFND
ANALOG DEVICES INC,032654105,193401,38252784,DFND
APPLE INC,037833100,10027,1719430,DFND
AIRBNB INC CL-A,009066101,7055,1163793,SOLE
ARISTA NETWORKS INC,040413106,95613,27717253,SOLE
BANK OZK LITTLE ROCK ARK,06417N103,1165110,52965901,DFND
BERKSHIRE HATHAWAY INC DEL,084670108,7,4441080,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,479975,201839087,DFND
BANK AMERICA CORP,060505104,986950,37425144,DFND
BOOKING HOLDINGS INC.,09857L108,11294,40973277,DFND
CARMAX INC,143130102,1582398,137842690,DFND
CIENA CORP,171779309,661,32686,SOLE
COHERENT CORP,19247G107,116314,7050955,SOLE
COPART INC,217204106,27484,1591873,SOLE
CREDIT ACCEP CORP MICH,225310101,24160,13325448,SOLE
DISNEY WALT CO,254687106,232766,28481248,DFND
EDWARDS LIFESCIENCES CORP,28176E108,445718,42592812,DFND
FERGUSON PLC NEW F,G3421J106,28910,6314811,SOLE
FISERV INC,337738108,480246,76752916,DFND
FIVE BELOW INC,33829M101,667190,121014922,DFND
FLOOR & DECOR HLDGS INC,339750101,272357,35302914,DFND
FORTUNE BRANDS HOME & SEC IN,34964C106,452871,38344588,DFND
GRAYSCALE BITCOIN TR BTC,389637109,7442,470111,DFND
HEICO CORP NEW,422806208,718995,110682090,DFND
INSTALLED BLDG PRODS INC,45780R101,467012,120830015,DFND
ISHARES SILVER TR,46428Q109,23000,523250,SOLE
ISHARES TR,464288752,11350,1313990,DFND
JPMORGAN CHASE & CO,46625H100,39203,7852361,DFND
KEYSIGHT TECHNOLOGIES INC,49338L103,478346,74803747,DFND
KINSALE CAPITAL GROUP IN,49714P108,17610,9240671,DFND
LITTELFUSE INC,537008104,77961,18893848,DFND
LULULEMON ATHLETICA INC,550021109,129251,50491903,DFND
M & T BK CORP,55261F104,352670,51292325,DFND
MARKEL CORP,570535104,80549,122553693,DFND
MASTERCARD INCORPORATED,57636Q104,22821,10989909,DFND
MEDPACE HOLDINGS INC,58506Q109,185232,74861513,DFND
META PLATFORMS INC,30303M102,295820,143644276,DFND
NOVO-NORDISK A S,670100205,12400,1592160,SOLE
NVR INC,62944T105,13138,106417274,DFND
OLD DOMINION FREIGHT LINE IN,679580100,2362,518010,SOLE
PROGRESSIVE CORP,743315103,530369,109690917,DFND
SCHWAB CHARLES CORP,808513105,861431,62315919,DFND
SITEONE LANDSCAPE SUPPLY INC,82982L103,3753,655086,SOLE
SPDR GOLD TR,78463V107,4206,865258,DFND
STARBUCKS CORP,855244109,371551,33956046,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,8193,1114658,SOLE
TJX COS INC NEW,872540109,1085,110041,SOLE
VISA INC,92826C839,382208,106666609,DFND
