Company,CUSIP,Shares,Value,Discretion,PutCall
1 800 FLOWERS COM INC,68243Q106,160678,1274177,SOLE,
AAR CORP,000361105,204,13333,SOLE,
AAR CORP,000361105,220001,14379265,SOLE,
ACADIA HEALTHCARE COMPANY IN,00404A109,57920,3672707,SOLE,
ACCENTURE PLC IRELAND,G1151C101,2,707,SOLE,
ACCENTURE PLC IRELAND,G1151C101,2668,943085,SOLE,
ACCO BRANDS CORP,00081T108,160703,879045,SOLE,
ADAPTHEALTH CORP,00653Q102,930438,10448819,SOLE,
ADTRAN HOLDINGS INC,00486H105,1001807,5940716,SOLE,
ADVANCED ENERGY INDS,007973100,118633,12484937,SOLE,
ADVANSIX INC,00773T101,638377,19393893,SOLE,
AGNICO EAGLE MINES LTD,008474108,6947311,559590196,SOLE,
AIR LEASE CORP,00912X302,464,21015,SOLE,
AIR LEASE CORP,00912X302,310223,14050000,SOLE,
AIR TRANSPORT SERVICES GRP I,00922R105,523641,8477748,SOLE,
AIRGAIN INC,00938A104,597797,4507389,SOLE,
ALAMOS GOLD INC NEW,011532108,7741945,154253481,SOLE,
ALIGN TECHNOLOGY INC,016255101,88,22380,SOLE,
ALIGN TECHNOLOGY INC,016255101,3826,973028,SOLE,
ALPHA & OMEGA SEMICONDUCTOR,G6331P104,466316,17309650,SOLE,
ALPHABET INC,02079K107,51901,8677332,SOLE,
ALPHABET INC,02079K107,6629073,1108314715,SOLE,
ALPHABET INC,02079K305,54,8956,SOLE,
ALPHABET INC,02079K305,3343032,554441857,SOLE,
ALPHATEC HLDGS INC,02081G201,482035,2680115,SOLE,
AMBEV SA,02319V103,8134088,19847174,SOLE,
AMBEV SA,02319V103,334070415,815131813,SOLE,
AMEDISYS INC,023436108,48,4632,SOLE,
AMEDISYS INC,023436108,2055,198328,SOLE,
AMERESCO INC,02361E108,224360,8512218,SOLE,
AMERICAN EXPRESS CO,025816109,15585,4226785,SOLE,
AMERICAN EXPRESS CO,025816109,2582303,700320574,SOLE,
AMERICAN HOMES 4 RENT,02665T306,1822,69947,SOLE,
AMERICAN WOODMARK CORPORATIO,030506109,26300,2457735,SOLE,
AMERICAN WTR WKS CO INC NEW,030420103,1157,169200,SOLE,
AMERIS BANCORP,03076K108,293733,18326002,SOLE,
AMKOR TECHNOLOGY INC,031652100,581,17779,SOLE,
AMKOR TECHNOLOGY INC,031652100,587318,17971931,SOLE,
AMMO INC,00175J107,1498870,2143384,SOLE,
AMTECH SYS INC,032332504,783367,4543529,SOLE,
ANALOG DEVICES INC,032654105,23154,5329361,SOLE,
ANALOG DEVICES INC,032654105,3786683,871580826,SOLE,
ANGIODYNAMICS INC,03475V101,394114,3066207,SOLE,
ANGLOGOLD ASHANTI PLC,G0378L100,2524900,67238087,SOLE,
ARAMARK,03852U106,350,13556,SOLE,
ARAMARK,03852U106,14885,576496,SOLE,
ARCH RESOURCES INC,03940R107,66500,9187640,SOLE,
ARCOSA INC,039653100,32,3032,SOLE,
ARCOSA INC,039653100,143148,13564704,SOLE,
ARMADA HOFFLER PPTYS INC,04208T108,733936,7948527,SOLE,
ARTIVION INC,228903100,621848,16553594,SOLE,
ASHLAND INC,044186104,124850,10858205,SOLE,
ASTEC INDS INC,046224101,220851,7053981,SOLE,
ASTRONICS CORP,046433108,407726,7942502,SOLE,
ASURE SOFTWARE INC,04649U102,378464,3425099,SOLE,
AVANTOR INC,05352A100,468,12107,SOLE,
AVANTOR INC,05352A100,20114,520349,SOLE,
AVNET INC,053807103,136,7386,SOLE,
AVNET INC,053807103,161422,8766829,SOLE,
AXIS CAP HLDGS LTD,G0692U109,214,17037,SOLE,
AXIS CAP HLDGS LTD,G0692U109,207535,16521861,SOLE,
AXOS FINANCIAL INC,05465C100,205372,12913791,SOLE,
AZEK CO INC,05478C105,196,9173,SOLE,
AZEK CO INC,05478C105,84029,3932557,SOLE,
B2GOLD CORP,11777Q209,18116340,55985153,SOLE,
BACKBLAZE INC,05637B105,1110590,7096670,SOLE,
BANK AMERICA CORP,060505682,24541,31240938,SOLE,
BANK NEW YORK MELLON CORP,064058100,88392,6351842,SOLE,
BANK NEW YORK MELLON CORP,064058100,15608664,1121638595,SOLE,
BARNES GROUP INC,067806109,374098,15117300,SOLE,
BARRICK GOLD CORP,067901108,904773,17995926,SOLE,
BARRICK GOLD CORP,067901108,53893359,1071938911,SOLE,
BEACON ROOFING SUPPLY INC,073685109,25600,2212608,SOLE,
BEAZER HOMES USA INC,07556Q881,497,16982,SOLE,
BEAZER HOMES USA INC,07556Q881,560634,19156864,SOLE,
BECTON DICKINSON & CO,075887109,16074,3875359,SOLE,
BECTON DICKINSON & CO,075887109,3352069,808183836,SOLE,
BELDEN INC,077454106,135,15813,SOLE,
BELDEN INC,077454106,88656,10384277,SOLE,
BENCHMARK ELECTRS INC,08160H101,290679,12882893,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,919,635194420,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,8304,3822188,SOLE,
BIO RAD LABS INC,090572207,71,23755,SOLE,
BIO RAD LABS INC,090572207,712929,238531785,SOLE,
BLACK HILLS CORP,092113109,149,9107,SOLE,
BLACK HILLS CORP,092113109,322720,19724646,SOLE,
BLACK STONE MINERALS L P,09225M101,5534,83563,SOLE,
BRIGHTCOVE INC,10921T101,668798,1444604,SOLE,
BRITISH AMERN TOB PLC,110448107,856943,31346985,SOLE,
BROOKDALE SR LIVING INC,112463104,1165618,7914546,SOLE,
BROWN & BROWN INC,115236101,16210,1679397,SOLE,
BROWN & BROWN INC,115236101,3088638,319982897,SOLE,
BXP INC,101121101,3688946,296812595,SOLE,
C H ROBINSON WORLDWIDE INC,12541W209,68857,7599764,SOLE,
C H ROBINSON WORLDWIDE INC,12541W209,11386344,1256710787,SOLE,
CANADIAN NATL RY CO,136375102,1696,198575,SOLE,
CANADIAN PACIFIC KANSAS CITY,13646K108,2348,200791,SOLE,
CANTALOUPE INC,138103106,553197,4093658,SOLE,
CARDINAL HEALTH INC,14149Y108,237,26193,SOLE,
CARDINAL HEALTH INC,14149Y108,10079,1113931,SOLE,
CAREDX INC,14167L103,239,7463,SOLE,
CAREDX INC,14167L103,594075,18549992,SOLE,
CARPARTS COM INC,14427M107,489994,444082,SOLE,
CARPENTER TECHNOLOGY CORP,144285103,103454,16509189,SOLE,
CARS COM INC,14575E105,632643,10603097,SOLE,
CASEYS GEN STORES INC,147528103,54,20288,SOLE,
CASEYS GEN STORES INC,147528103,2293,861503,SOLE,
CAVCO INDS INC DEL,149568107,11028,4722631,SOLE,
CECO ENVIRONMENTAL CORP,125141101,594164,16755425,SOLE,
CENTURY ALUM CO,156431108,631314,10246226,SOLE,
CENTURY CMNTYS INC,156504300,131878,13580796,SOLE,
CERAGON NETWORKS LTD,M22013102,482433,1321866,SOLE,
