Company,CUSIP,Shares,Value,Discretion,PutCall
ADT INC DEL,00090Q103,38421,252426,OTR,
ADT INC DEL,00090Q103,947998,6228347,OTR,
ADT INC DEL,00090Q103,18488633,121470319,SOLE,
AFFILIATED MANAGERS GROUP,008252108,53306,14749770,OTR,
AFFILIATED MANAGERS GROUP,008252108,1010724,279667331,SOLE,
AFLAC INC,001055102,2047,224576,OTR,
AFLAC INC,001055102,237219,26025296,SOLE,
ALGONQUIN POWER & UTILITIES,015857105,19641661,120599799,SOLE,
APA CORPORATION,03743Q108,222147,9427919,SOLE,
AT&T INC,00206R102,1489147,43170372,SOLE,
AXALTA COATING SYS LTD,G0750C108,10089,279465,OTR,
AXALTA COATING SYS LTD,G0750C108,187948,5206160,OTR,
AXALTA COATING SYS LTD,G0750C108,3268923,90549167,SOLE,
BANK AMERICA CORP,060505104,512111,24965411,SOLE,
BARRICK MNG CORP,06849F108,207277,8454829,SOLE,
BIO RAD LABS INC,090572207,1239,345371,OTR,
BIO RAD LABS INC,090572207,16650,4641188,OTR,
BIO RAD LABS INC,090572207,768072,214100070,SOLE,
BOK FINL CORP,05561Q201,63432,8123102,OTR,
BOK FINL CORP,05561Q201,1586451,203160915,SOLE,
BORGWARNER INC,099724106,64987,3526195,SOLE,
BOYD GAMING CORP,103304101,108071,8881275,OTR,
BOYD GAMING CORP,103304101,2166347,178030396,SOLE,
BRADY CORP,104674106,2764,224547,OTR,
BRINKS CO,109696104,8718,903446,OTR,
BRINKS CO,109696104,135941,14087566,OTR,
BRINKS CO,109696104,778299,80655125,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,721731,43772985,SOLE,
CARLYLE GROUP INC,14316J108,7719,373522,OTR,
CARLYLE GROUP INC,14316J108,229300,11095827,OTR,
CARLYLE GROUP INC,14316J108,3744738,181207872,SOLE,
CARMAX INC,143130102,3506,145779,OTR,
CARMAX INC,143130102,558441,23219977,SOLE,
CBRE GROUP INC,12504L109,1925,260761,OTR,
CBRE GROUP INC,12504L109,16050,2174133,OTR,
CBRE GROUP INC,12504L109,245174,33211270,SOLE,
CENTERPOINT ENERGY INC,15189T107,476867,20581580,SOLE,
CHARLES RIV LABS INTL INC,159864107,2526,435735,OTR,
CHARLES RIV LABS INTL INC,159864107,47958,8272755,OTR,
CHARLES RIV LABS INTL INC,159864107,1393699,240413078,SOLE,
CHEVRON CORPORATION,166764100,41499,8586143,SOLE,
COLUMBIA ETF TR II,19762B202,8466,345497,SOLE,
CORE LABORATORIES INC,21867A105,412776,6930509,OTR,
CORE LABORATORIES INC,21867A105,12757612,214200305,SOLE,
COVISTA INC,00737L103,4382,505026,OTR,
COVISTA INC,00737L103,83708,9647347,OTR,
COVISTA INC,00737L103,1843194,212428109,SOLE,
CREDICORP LTD,G2519Y108,7585,2572680,SOLE,
CVS HEALTH CORP,126650100,702151,50428485,SOLE,
DENTSPLY SIRONA INC,24906P109,6386815,74087054,SOLE,
DISNEY WALT CO,254687106,654369,63068084,SOLE,
ENVISTA HOLDINGS CORPORATION,29415F104,16053,407265,OTR,
ENVISTA HOLDINGS CORPORATION,29415F104,263913,6695473,OTR,
ENVISTA HOLDINGS CORPORATION,29415F104,10583626,268506592,SOLE,
FACTSET RESH SYS INC,303075105,595,129109,OTR,
FACTSET RESH SYS INC,303075105,224452,48703839,SOLE,
FAIR ISAAC CORP,303250104,204,217778,OTR,
FEDEX CORP,31428X106,98918,35232613,SOLE,
FIFTH THIRD BANCORP,316773100,567418,26362240,SOLE,
FIRST AMERN FINL CORP,31847R102,10072,607241,OTR,
FIRST AMERN FINL CORP,31847R102,189212,11407591,OTR,
FIRST AMERN FINL CORP,31847R102,3639718,219438598,SOLE,
FIRST SOLAR INC,336433107,271480,53552145,SOLE,
FISERV INC,337738108,7325,408735,OTR,
FISERV INC,337738108,425234,23728057,SOLE,
GALLAGHER ARTHUR J & CO,363576109,19764,4280487,SOLE,
GCM GROSVENOR INC,36831E108,4396403,43084749,SOLE,
GENERAC HLDGS INC,368736104,3337,651816,OTR,
GENERAC HLDGS INC,368736104,57016,11136935,OTR,
GENERAC HLDGS INC,368736104,1234434,241121993,SOLE,
GENTEX CORP,371901109,15688,342783,OTR,
GENTEX CORP,371901109,284307,6212108,OTR,
GENTEX CORP,371901109,8042407,175726593,SOLE,
GILEAD SCIENCES INC,375558103,202271,28190509,SOLE,
HACKETT GROUP INC,404609109,6989,90927,OTR,
HACKETT GROUP INC,404609109,418579,5445713,SOLE,
HDFC BANK LTD,40415F101,14072,350111,SOLE,
HEWLETT PACKARD ENTERPRISE C,42824C109,1659398,39510266,SOLE,
INTEL CORP,458140100,1455291,64221992,SOLE,
INTERCORP FINL SVCS INC,P5626F128,46465,2332543,SOLE,
ISHARES TR,464287473,1145,166872,SOLE,
ISHARES TR,464287630,65455,12409613,SOLE,
JOHNSON & JOHNSON,478160104,40553,9912775,SOLE,
JONES LANG LASALLE INC,48020Q107,2463,749540,OTR,
JONES LANG LASALLE INC,48020Q107,43525,13245528,OTR,
JONES LANG LASALLE INC,48020Q107,978289,297712908,SOLE,
KASPI KZ JSC,48581R205,22724,1683167,SOLE,
KB FINL GROUP INC,48241A105,49961,4982611,SOLE,
KENNAMETAL INC,489170100,7861,284018,OTR,
KENNAMETAL INC,489170100,78936,2851958,OTR,
KENNAMETAL INC,489170100,782203,28260994,SOLE,
KEYSIGHT TECHNOLOGIES INC,49338L103,2305,650863,OTR,
KEYSIGHT TECHNOLOGIES INC,49338L103,36886,10415500,OTR,
KEYSIGHT TECHNOLOGIES INC,49338L103,165133,46628605,SOLE,
KKR & CO INC,48251W104,3841,355293,OTR,
KKR & CO INC,48251W104,435564,40289670,SOLE,
KNOWLES CORP,49926D109,18779,482245,OTR,
KNOWLES CORP,49926D109,3800083,97586131,SOLE,
KORN FERRY,500643200,2844,179030,OTR,
KORN FERRY,500643200,460573,28993070,SOLE,
LABCORP HOLDINGS INC,504922105,1220,325508,OTR,
LABCORP HOLDINGS INC,504922105,29143,7775644,OTR,
LABCORP HOLDINGS INC,504922105,323656,86354657,SOLE,
LAZARD INC,52110M109,7992,339500,OTR,
LAZARD INC,52110M109,170156,7228227,OTR,
LAZARD INC,52110M109,5648141,239933030,SOLE,
LESLIES INC,527064208,108548,121574,OTR,
LESLIES INC,527064208,2774446,3107380,SOLE,
LINDBLAD EXPEDITIONS HLDGS I,535219109,47203,816612,OTR,
LINDBLAD EXPEDITIONS HLDGS I,535219109,3391860,58679178,SOLE,
LITTELFUSE INC,537008104,1311,444888,OTR,
LITTELFUSE INC,537008104,214116,72660265,SOLE,
LOCKHEED MARTIN CORP,539830109,13114,7925970,SOLE,
M & T BK CORP,55261F104,1553,321036,OTR,
M & T BK CORP,55261F104,176082,36399671,SOLE,
MADISON SQUARE GARDEN ENTMT,558256103,7224,425566,OTR,
MADISON SQUARE GARDEN ENTMT,558256103,193078,11374225,OTR,
MADISON SQUARE GARDEN ENTMT,558256103,5905281,347880104,SOLE,
MADISON SQUARE GRDN SPRT COR,55825T103,1336,429390,OTR,
MADISON SQUARE GRDN SPRT COR,55825T103,28877,9281068,OTR,
MADISON SQUARE GRDN SPRT COR,55825T103,687128,220842939,SOLE,
MANCHESTER UTD PLC NEW,G5784H106,19365,325719,OTR,
MANCHESTER UTD PLC NEW,G5784H106,305260,5134473,OTR,
MANCHESTER UTD PLC NEW,G5784H106,8725762,146767317,SOLE,
MASCO CORP,574599106,3413,206043,OTR,
MASCO CORP,574599106,112492,6791142,OTR,
MASCO CORP,574599106,407524,24602224,SOLE,
MATTEL INC,577081102,21002,305159,OTR,
MATTEL INC,577081102,471035,6844139,OTR,
MATTEL INC,577081102,13075046,189980418,SOLE,
MGP INGREDIENTS INC NEW,55303J106,628860,11564735,SOLE,
MICROSOFT CORP,594918104,62192,23021613,SOLE,
MIDDLEBY CORP,596278101,3155,418290,OTR,
MIDDLEBY CORP,596278101,51516,6829991,OTR,
MIDDLEBY CORP,596278101,1519859,201502906,SOLE,
MOHAWK INDS INC,608190104,1972,194163,OTR,
MOHAWK INDS INC,608190104,55091,5424260,OTR,
MOHAWK INDS INC,608190104,1687615,166162573,SOLE,
MOLSON COORS BEVERAGE CO,60871R209,548715,23627668,SOLE,
MOSAIC CO,61945C103,148341,3782696,SOLE,
MOTOROLA SOLUTIONS INC,620076307,696,302043,OTR,
NORTHERN TR CORP,665859104,4614,643976,OTR,
NORTHERN TR CORP,665859104,87969,12277833,OTR,
NORTHERN TR CORP,665859104,1048535,146344030,SOLE,
NORWEGIAN CRUISE LINE HLDGS,G66721104,41737,780482,OTR,
NORWEGIAN CRUISE LINE HLDGS,G66721104,718597,13437764,OTR,
NORWEGIAN CRUISE LINE HLDGS,G66721104,13901245,259953282,SOLE,
NVENT ELEC PLC,G6700G107,5297,626529,OTR,
NVENT ELEC PLC,G6700G107,52668,6229571,OTR,
NVENT ELEC PLC,G6700G107,538434,63685974,SOLE,
OMNICOM GROUP INC,681919106,2923,220131,OTR,
OMNICOM GROUP INC,681919106,96712,7283381,OTR,
OMNICOM GROUP INC,681919106,1005310,75709896,SOLE,
ONESPAWORLD HOLDINGS LIMITED,P73684113,56123,1288023,OTR,
ONESPAWORLD HOLDINGS LIMITED,P73684113,880933,20217412,OTR,
ONESPAWORLD HOLDINGS LIMITED,P73684113,14495358,332668466,SOLE,
ORACLE CORP,68389X105,16367,2407749,SOLE,
PARAMOUNT SKYDANCE CORP,69932A204,133029,1199922,OTR,
PARAMOUNT SKYDANCE CORP,69932A204,2413291,21767885,SOLE,
PHINIA INC,71880K101,1332,91162,OTR,
PHINIA INC,71880K101,131223,8980902,SOLE,
PRESTIGE CONSMR HEALTHCARE I,74112D101,8856,524895,OTR,
PRESTIGE CONSMR HEALTHCARE I,74112D101,172749,10238833,OTR,
PRESTIGE CONSMR HEALTHCARE I,74112D101,4092721,242575574,SOLE,
PROGRESSIVE CORP,743315103,1010,200222,OTR,
RESIDEO TECHNOLOGIES INC,76118Y104,17674,595791,OTR,
RESIDEO TECHNOLOGIES INC,76118Y104,343012,11562935,OTR,
RESIDEO TECHNOLOGIES INC,76118Y104,5718165,192759342,SOLE,
RLI CORP,749607107,3483,198670,OTR,
RLI CORP,749607107,868550,49542092,SOLE,
ROYAL CARIBBEAN GROUP,V7780T103,1740,478813,OTR,
SCHWAB CHARLES CORP,808513105,402927,37867079,SOLE,
SCOTTS MIRACLE-GRO CO,810186106,962642,58538260,SOLE,
SIMPSON MFG INC,829073105,1395,239410,OTR,
SIMPSON MFG INC,829073105,15893,2727557,OTR,
SIMPSON MFG INC,829073105,74462,12779168,SOLE,
SLB LIMITED,806857108,1237399,63589935,SOLE,
SMUCKER J M CO,832696405,2404,231842,OTR,
SMUCKER J M CO,832696405,55482,5350684,OTR,
SMUCKER J M CO,832696405,1802573,173840140,SOLE,
SNAP ON INC,833034101,704,255707,OTR,
SNAP ON INC,833034101,9551,3469114,OTR,
SNAP ON INC,833034101,22353,8119057,SOLE,
SPHERE ENTERTAINMENT CO,55826T102,6216,729758,OTR,
SPHERE ENTERTAINMENT CO,55826T102,141663,16631236,OTR,
SPHERE ENTERTAINMENT CO,55826T102,2314430,271714082,SOLE,
STANLEY BLACK & DECKER INC,854502101,396952,28207409,SOLE,
TAIWAN SEMICONDUCTOR MANUFAC,874039100,16092,5438291,SOLE,
VAIL RESORTS INC,91879Q109,112309,14411491,SOLE,
VANGUARD INTL EQUITY INDEX F,922042742,9964,1378220,SOLE,
VANGUARD INTL EQUITY INDEX F,922042858,20245,1094242,SOLE,
VANGUARD STAR FDS,921909768,4685,361260,SOLE,
WEX INC,96208T104,2747,420401,OTR,
WEX INC,96208T104,49252,7537526,OTR,
WEX INC,96208T104,285725,43727354,SOLE,
ZEBRA TECHNOLOGIES CORPORATI,989207105,1544,322820,OTR,
ZEBRA TECHNOLOGIES CORPORATI,989207105,35321,7384915,OTR,
ZEBRA TECHNOLOGIES CORPORATI,989207105,740498,154823322,SOLE,
ZIMMER BIOMET HOLDINGS INC,98956P102,2573,232651,OTR,
