Company,CUSIP,Shares,Value,Discretion
"Agilent Technologies, Inc. (A)",00846U101,10700,1455949,SOLE
Arrow Electronics Inc (ARW),042735100,1899971,209338805,SOLE
Avnet Inc (AVT),053807103,3928866,188899877,SOLE
Avantor Inc (AVTR),05352A100,20500653,234937483,SOLE
Baxter International Inc (BAX),071813109,10693223,204347492,SOLE
Citigroup Inc (C),172967424,33260,3881109,SOLE
CRH PLC  (CRH),G25508105,20000,2496000,SOLE
"D R Horton, Inc. (DHI)",23331A109,3484146,501821548,SOLE
Genpact LTD (G),G3922B107,10000,467800,SOLE
General Motors Co (GM),35045V100,15178957,1234352783,SOLE
Icon PLC (ICLR),G4705A100,17394,3169535,SOLE
J P Morgan Chase (JPM),46625H100,4000,1288880,SOLE
Lear Corporation (LEA),521865204,1776038,203533955,SOLE
Lennar Corporation - A (LEN),526057104,10094147,1037678312,SOLE
Lennar Corporation - B SHS (LEN/B),526057302,364059,34629292,SOLE
Millrose Properties (MRP),601137102,4596584,137299964,SOLE
Meritage Homes Corp (MTH),59001A102,1465340,96419372,SOLE
NOV INC (NOV),62955J103,5745138,89796507,SOLE
Oshkosh Corp (OSK),688239201,2521296,316750416,SOLE
PulteGroup Inc. (PHM),745867101,5534428,648967027,SOLE
Robert Half Inc (RHI),770323103,104700,2843652,SOLE
Charles Schwab Corporation (SCHW),808513105,12500,1248875,SOLE
SLB LTD (SLB),806857108,4660827,178882540,SOLE
Stellantis NV (STLA),N82405106,36000,392040,SOLE
Terex Corp (TEX),880779103,19422,1036746,SOLE
Teleflex Inc (TFX),879369106,122079,14898521,SOLE
Taylor Morrison Home Corp (TMHC),87724P106,47500,2796325,SOLE
"Toll Brothers, Inc. (TOL)",889478103,5603187,757662946,SOLE
Union Pacific Corp (UNP),907818108,2032,470042,SOLE
Vanguard  0-3M T-Bill ETF (VBIL),922040845,772725,58286647,SOLE
