Company,CUSIP,Shares,Value,Discretion,PutCall
8X8 INC NEW,282914100,548705,1481504,SOLE,
AAR CORP,000361105,204,12213,SOLE,
AAR CORP,000361105,197601,11830372,SOLE,
ACADEMY SPORTS & OUTDOORS IN,00402L107,103200,6970128,SOLE,
ACADIA HEALTHCARE COMPANY IN,00404A109,130370,10327911,SOLE,
ACCENTURE PLC IRELAND,G1151C101,2,693,SOLE,
ACCENTURE PLC IRELAND,G1151C101,2702,936540,SOLE,
ACCURAY INC,004397105,969508,2394685,SOLE,
ADAPTHEALTH CORP,00653Q102,594951,6847886,SOLE,
ADDUS HOMECARE CORP,006739106,51729,5345675,SOLE,
ADTRAN HOLDINGS INC,00486H105,406307,2210310,SOLE,
ADVANCED ENERGY INDS,007973100,112833,11506709,SOLE,
ADVANSIX INC,00773T101,459607,13144760,SOLE,
AGNICO EAGLE MINES LTD,008474108,6891385,411106146,SOLE,
AIR LEASE CORP,00912X302,464,23868,SOLE,
AIR LEASE CORP,00912X302,359723,18504151,SOLE,
AIR TRANSPORT SERVICES GRP I,00922R105,487930,6713917,SOLE,
AIRGAIN INC,00938A104,426634,2325155,SOLE,
ALAMOS GOLD INC NEW,011532108,8712916,128510604,SOLE,
ALLEGIANT TRAVEL CO,01748X102,103513,7785213,SOLE,
ALPHA & OMEGA SEMICONDUCTOR,G6331P104,446542,9841786,SOLE,
ALPHABET INC,02079K107,24140,3675616,SOLE,
ALPHABET INC,02079K107,6705399,1020964052,SOLE,
ALPHABET INC,02079K305,55,8301,SOLE,
ALPHABET INC,02079K305,3366455,508099053,SOLE,
AMBEV SA,02319V103,5806670,14400542,SOLE,
AMBEV SA,02319V103,306898767,761108942,SOLE,
AMDOCS LTD,G02602103,72,6507,SOLE,
AMDOCS LTD,G02602103,2376,214719,SOLE,
AMEDISYS INC,023436108,104,9585,SOLE,
AMEDISYS INC,023436108,3430,316109,SOLE,
AMERICAN EXPRESS CO,025816109,7031,1600986,SOLE,
AMERICAN EXPRESS CO,025816109,2597919,591520177,SOLE,
AMERICAN HOMES 4 RENT,02665T306,5364,197288,SOLE,
AMERICAN VANGUARD CORP,030371108,310598,4022244,SOLE,
AMERICAN WTR WKS CO INC NEW,030420103,1122,137120,SOLE,
AMERIS BANCORP,03076K108,244583,11832926,SOLE,
AMKOR TECHNOLOGY INC,031652100,581,18731,SOLE,
AMKOR TECHNOLOGY INC,031652100,465918,15021196,SOLE,
AMMO INC,00175J107,826868,2273887,SOLE,
AMTECH SYS INC,032332504,598045,3235423,SOLE,
ANALOG DEVICES INC,032654105,8587,1698429,SOLE,
ANALOG DEVICES INC,032654105,3838500,759216915,SOLE,
ANGLOGOLD ASHANTI PLC,G0378L100,4431721,98384206,SOLE,
ARAMARK,03852U106,350,11382,SOLE,
ARAMARK,03852U106,11485,373492,SOLE,
ARC DOCUMENT SOLUTIONS INC,00191G103,134965,373853,SOLE,
ARCOSA INC,039653100,126052,10822825,SOLE,
ARMADA HOFFLER PPTYS INC,04208T108,970931,10097682,SOLE,
ARTIVION INC,228903100,570242,12066321,SOLE,
ASHLAND INC,044186104,89600,8724352,SOLE,
ASTEC INDS INC,046224101,236251,10326531,SOLE,
ASTRONICS CORP,046433108,360876,6871079,SOLE,
ASURE SOFTWARE INC,04649U102,281497,2190047,SOLE,
AVANTOR INC,05352A100,468,11967,SOLE,
AVANTOR INC,05352A100,15414,394136,SOLE,
AVIAT NETWORKS INC,05366Y201,193209,7407633,SOLE,
AVNET INC,053807103,191,9470,SOLE,
AVNET INC,053807103,209922,10407933,SOLE,
AXIS CAP HLDGS LTD,G0692U109,91,5917,SOLE,
AXIS CAP HLDGS LTD,G0692U109,83605,5435997,SOLE,
AXOS FINANCIAL INC,05465C100,187572,10136391,SOLE,
AZEK CO INC,05478C105,196,9843,SOLE,
AZEK CO INC,05478C105,141129,7087498,SOLE,
B2GOLD CORP,11777Q209,27216340,71360100,SOLE,
BACKBLAZE INC,05637B105,726990,7437108,SOLE,
BANK AMERICA CORP,060505682,26261,31348806,SOLE,
BANK NEW YORK MELLON CORP,064058100,40441,2330193,SOLE,
BANK NEW YORK MELLON CORP,064058100,15970580,920224820,SOLE,
BARNES GROUP INC,067806109,391201,14533117,SOLE,
BARRICK GOLD CORP,067901108,698749,11627177,SOLE,
BARRICK GOLD CORP,067901108,58121301,967138449,SOLE,
BEAZER HOMES USA INC,07556Q881,309,10135,SOLE,
BEAZER HOMES USA INC,07556Q881,359377,11787566,SOLE,
BECTON DICKINSON & CO,075887109,5614,1389291,SOLE,
BECTON DICKINSON & CO,075887109,2109345,521957420,SOLE,
BELDEN INC,077454106,135,12502,SOLE,
BELDEN INC,077454106,99156,9182837,SOLE,
BENCHMARK ELECTRS INC,08160H101,300729,9024877,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,923,585588120,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,3779,1589326,SOLE,
BIO RAD LABS INC,090572207,54,18677,SOLE,
BIO RAD LABS INC,090572207,1910,660612,SOLE,
BJS RESTAURANTS INC,09180C106,196737,7117945,SOLE,
BLACK HILLS CORP,092113109,277640,15159144,SOLE,
BLACK STONE MINERALS L P,09225M101,5360,85653,SOLE,
BLOOMIN BRANDS INC,094235108,166419,4772897,SOLE,
BOSTON PROPERTIES INC,101121101,3725869,243336504,SOLE,
BRIGHTCOVE INC,10921T101,331032,642202,SOLE,
BRISTOW GROUP INC,11040G103,84144,2288717,SOLE,
BRITISH AMERN TOB PLC,110448107,722462,22035093,SOLE,
BROOKDALE SR LIVING INC,112463104,1055618,6977635,SOLE,
BROWN & BROWN INC,115236101,7445,651762,SOLE,
BROWN & BROWN INC,115236101,3101775,271529384,SOLE,
C H ROBINSON WORLDWIDE INC,12541W209,29595,2253347,SOLE,
C H ROBINSON WORLDWIDE INC,12541W209,11456460,872294864,SOLE,
CANADIAN NATL RY CO,136375102,1644,216581,SOLE,
CANADIAN PACIFIC KANSAS CITY,13646K108,2275,200675,SOLE,
CARDINAL HEALTH INC,14149Y108,237,26520,SOLE,
CARDINAL HEALTH INC,14149Y108,7829,876065,SOLE,
CAREDX INC,14167L103,523,5539,SOLE,
CAREDX INC,14167L103,1004584,10638545,SOLE,
CARPARTS COM INC,14427M107,794994,1287890,SOLE,
CARPENTER TECHNOLOGY CORP,144285103,149354,10666863,SOLE,
CARS COM INC,14575E105,425643,7312547,SOLE,
CASEYS GEN STORES INC,147528103,54,17196,SOLE,
CASEYS GEN STORES INC,147528103,1773,564612,SOLE,
CAVCO INDS INC DEL,149568107,12328,4919612,SOLE,
CECO ENVIRONMENTAL CORP,125141101,592864,13647729,SOLE,
CENTURY ALUM CO,156431108,833314,12824702,SOLE,
CENTURY CMNTYS INC,156504300,93678,9039927,SOLE,
CERAGON NETWORKS LTD,M22013102,542533,1736106,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,202,58707,SOLE,
CHEESECAKE FACTORY INC,163072101,427,15436,SOLE,
CHEESECAKE FACTORY INC,163072101,399672,14448143,SOLE,
CHEFS WHSE INC,163086101,313,11788,SOLE,
CHEFS WHSE INC,163086101,460513,17342920,SOLE,
CHEGG INC,163092109,412063,3119317,SOLE,
CHESAPEAKE ENERGY CORP,165167735,219,19454,SOLE,
CHESAPEAKE ENERGY CORP,165167735,7274,646149,SOLE,
CHUYS HLDGS INC,171604101,307,10355,SOLE,
CHUYS HLDGS INC,171604101,316872,10688093,SOLE,
CITIZENS INC,174740100,330508,707287,SOLE,
CLARUS CORP NEW,18270P109,528730,3568928,SOLE,
CLEVELAND-CLIFFS INC NEW,185899101,710,16145,SOLE,
CLEVELAND-CLIFFS INC NEW,185899101,23153,526499,SOLE,
COCA-COLA FEMSA SAB DE CV,191241108,298229,28987859,SOLE,
COEUR MNG INC,192108504,2360221,8898033,SOLE,
COHERENT CORP,19247G107,135,8184,SOLE,
COHERENT CORP,19247G107,160251,9714416,SOLE,
COHU INC,192576106,221051,7367630,SOLE,
COLGATE PALMOLIVE CO,194162103,25413,2288421,SOLE,
COLGATE PALMOLIVE CO,194162103,10531523,948363646,SOLE,
COLUMBUS MCKINNON CORP N Y,199333105,184281,8224461,SOLE,
COMCAST CORP NEW,20030N101,84227,3651243,SOLE,
COMCAST CORP NEW,20030N101,31912091,1383389145,SOLE,
COMMERCIAL METALS CO,201723103,192629,11320806,SOLE,
COMMUNITY HEALTH SYS INC NEW,203668108,1657121,5799924,SOLE,
COMPANIA CERVECERIAS UNIDAS,204429104,723462,8674308,SOLE,
COMPANIA CERVECERIAS UNIDAS,204429104,14833453,177853101,SOLE,
COMPASS MINERALS INTL INC,20451N101,121203,1907735,SOLE,
CRACKER BARREL OLD CTRY STOR,22410J106,38,2764,SOLE,
CRACKER BARREL OLD CTRY STOR,22410J106,87305,6349693,SOLE,
CRH PLC,G25508105,4101,353541,SOLE,
CUMMINS INC,231021106,5103,1503522,SOLE,
CUMMINS INC,231021106,1993574,587406579,SOLE,
CUMULUS MEDIA INC,231082801,21927,78718,SOLE,
CURTISS WRIGHT CORP,231561101,109,27897,SOLE,
CURTISS WRIGHT CORP,231561101,45648,11683149,SOLE,
DASEKE INC,23753F107,931226,7729176,SOLE,
DEERE & CO,244199105,528974,217270781,SOLE,
DELTA AIR LINES INC DEL,247361702,258,12350,SOLE,
DELTA AIR LINES INC DEL,247361702,8694,416182,SOLE,
DENNYS CORP,24869P104,920,8243,SOLE,
DENNYS CORP,24869P104,1102807,9881151,SOLE,
DENTSPLY SIRONA INC,24906P109,25682,852400,SOLE,
DENTSPLY SIRONA INC,24906P109,9760253,323942797,SOLE,
DHI GROUP INC,23331S100,388449,990545,SOLE,
DIAGEO PLC,25243Q205,27547,4097266,SOLE,
DIAMOND OFFSHORE DRILLING IN,25271C201,7713,105205,SOLE,
DIGI INTL INC,253798102,302409,9655919,SOLE,
DIME CMNTY BANCSHARES INC,25432X102,364754,7025162,SOLE,
DINE BRANDS GLOBAL INC,254423106,260032,12086287,SOLE,
DISNEY WALT CO,254687106,11002,1346205,SOLE,
DISNEY WALT CO,254687106,4042069,494587563,SOLE,
DNOW INC,67011P100,258029,3922041,SOLE,
DONALDSON INC,257651109,246,18371,SOLE,
DONALDSON INC,257651109,8221,613944,SOLE,
DORIAN LPG LTD,Y2106R110,266875,10264013,SOLE,
DOUGLAS EMMETT INC,25960P109,13768982,190975780,SOLE,
DOVER CORP,260003108,113,20022,SOLE,
DOVER CORP,260003108,3726,660210,SOLE,
DRIVEN BRANDS HLDGS INC,26210V102,213240,3367060,SOLE,
DUCKHORN PORTFOLIO INC,26414D106,358972,3342029,SOLE,
DUCOMMUN INC DEL,264147109,219479,11259273,SOLE,
EASTGROUP PPTYS INC,277276101,514,92402,SOLE,
EL POLLO LOCO HLDGS INC,268603107,145498,1417151,SOLE,
ELEVANCE HEALTH INC,036752103,5110,2649755,SOLE,
ELEVANCE HEALTH INC,036752103,1777465,921686701,SOLE,
EMBECTA CORP,29082K105,416194,5522894,SOLE,
ENCORE WIRE CORP,292562105,17130,4501421,SOLE,
ENERSYS,29275Y102,183,17286,SOLE,
ENERSYS,29275Y102,57841,5463661,SOLE,
ENOVIS CORPORATION,194014502,75,4684,SOLE,
ENOVIS CORPORATION,194014502,251221,15688751,SOLE,
ENPRO INC,29355X107,65493,11053254,SOLE,
ENTEGRIS INC,29362U104,116,16303,SOLE,
ENTEGRIS INC,29362U104,3966,557382,SOLE,
ENTERPRISE PRODS PARTNERS L,293792107,1702224,49670896,SOLE,
EQUINIX INC,29444U700,81,66852,SOLE,
EQUITY RESIDENTIAL,29476L107,23292,1469966,SOLE,
EQUITY RESIDENTIAL,29476L107,9315634,587909662,SOLE,
ETHAN ALLEN INTERIORS INC,297602104,68092,2353940,SOLE,
