Company,CUSIP,Shares,Value,Discretion,PutCall
Alphabet Inc.,02079K107,1129129,398955150,SOLE,
"Altria Group, Inc.",02209S103,4200,302190,SOLE,
"America's Car-Mart, Inc.",03062T105,205000,571950,SOLE,
Amplify Energy Corp.,03212B103,205000,815900,SOLE,
Aon Plc,G0403H108,12915,4283776,SOLE,
"Armstrong World Industries, Inc.",04247X102,754944,121108116,SOLE,
"Avantor, Inc.",05352A100,4770000,47223000,SOLE,
Bank of New York Mellon Corp,064058100,64400,9312884,SOLE,
"BellRing Brands, Inc.",07831C103,5263000,68103220,SOLE,
Berkshire Hathaway Inc.,084670702,1161530,581217997,SOLE,
"Broadridge Financial Solutions, Inc.",11133T103,878522,120313588,SOLE,
Canadian Natural Resources Limited,136385101,16462508,650269066,SOLE,
Cato Corporation,149205106,105445,341642,SOLE,
Charles Schwab Corp,808513105,4101552,378450203,SOLE,
Clorox Company,189054109,48095,4590187,SOLE,
Coca-Cola Company,191216100,2127657,172914684,SOLE,
Cognizant Technology Solutions Corporation,192446102,3150565,122021382,SOLE,
Colgate-Palmolive Company,194162103,790900,72509712,SOLE,
Comcast Corporation,20030N101,1170500,28735775,SOLE,
ConocoPhillips,20825C104,1606025,166962359,SOLE,
"Copart, Inc.",217204106,136675,3852868,SOLE,
Darling Ingredients Inc,237266101,1417062,77399926,SOLE,
Devon Energy Corporation,25179M103,510913,21110925,SOLE,
"Diamondback Energy, Inc.",25278X109,1014114,178260959,SOLE,
eBay Inc.,278642103,1262742,141111419,SOLE,
"Elevance Health, Inc.",036752103,339985,131482399,SOLE,
Embecta Corporation,29082K105,4315952,14070004,SOLE,
"EOG Resources, Inc.",26875P101,1243536,161323925,SOLE,
FactSet Research Systems Inc.,303075105,229620,52830970,SOLE,
Fair Isaac Corporation,303250104,6157,7356260,SOLE,
Fox Corporation,35137L105,1185089,61814242,SOLE,
Fox Corporation,35137L204,5649828,264637944,SOLE,
"Goldman Sachs Group, Inc.",38141G104,5200,5259124,SOLE,
GrafTech International Ltd.,384313607,1149267,6792168,SOLE,
Ingredion Incorporated,457187102,1471409,139357146,SOLE,
Intuit Inc.,461202103,491278,128223558,SOLE,
iShares Trust,464286772,557535,112566317,SOLE,
Johnson & Johnson,478160104,1259977,319996359,SOLE,
"Kenvue, Inc.",49177J102,8051004,153854686,SOLE,
L3Harris Technologies Inc,502431109,413504,120160127,SOLE,
Legacy Housing Corporation,52472M101,754009,19807816,SOLE,
Lockheed Martin Corporation,539830109,216359,110226256,SOLE,
Masco Corporation,574599106,286085,23278736,SOLE,
Mastercard Incorporated,57636Q104,11670,5993712,SOLE,
Microsoft Corporation,594918104,1009284,376483118,SOLE,
Moody's Corporation,615369105,12405,5618473,SOLE,
MSCI Inc.,55354G100,10900,6104436,SOLE,
News Corporation,65249B109,7554958,187589607,SOLE,
News Corporation,65249B208,8140,228408,SOLE,
Northern Trust Corporation,665859104,9500,1651480,SOLE,
Northrop Grumman Corp.,666807102,197521,100599421,SOLE,
Olin Corporation,680665205,4209403,83430367,SOLE,
"PayPal Holdings, Inc.",70450Y103,2317304,100061187,SOLE,
"PepsiCo, Inc.",713448108,2072843,280662942,SOLE,
Philip Morris International Inc.,718172109,5000,904550,SOLE,
Procter & Gamble Company,742718109,1963488,287925880,SOLE,
Reading International Incorporated,755408101,265000,339200,SOLE,
"Reliance, Inc.",759509102,698566,260984258,SOLE,
State Street Corporation,857477103,919740,155987904,SOLE,
State Street SPDR Bloomberg 1-3 Month T-Bill ETF,78468R663,236353,21659389,SOLE,
State Street SPDR S&P 500 ETF,78462F103,3558,2657008,SOLE,
Sysco Corporation,871829107,1293545,108114491,SOLE,
Talen Energy Corp,87422Q109,359800,138256748,SOLE,
Teledyne Technologies Incorporated,879360105,2700,1800630,SOLE,
"Tyson Foods, Inc.",902494103,2578970,147646033,SOLE,
U-Haul Holding Company,023586100,325376,21292605,SOLE,
U-Haul Holding Company,023586506,6197210,357579017,SOLE,
Unilever PLC,904767803,241192,14500463,SOLE,
UnitedHealth Group Incorporated,91324P102,171768,71391934,SOLE,
"Verisk Analytics, Inc.",92345Y106,21190,3804241,SOLE,
Verizon Communications Inc.,92343V104,20000,846800,SOLE,
Visa Inc.,92826C839,732,251142,SOLE,
Walt Disney Company,254687106,1375972,132437305,SOLE,
Wells Fargo & Company,949746101,104803,8660920,SOLE,
