Company,CUSIP,Shares,Value,Discretion,PutCall
ACCENTURE PLC IRELAND,G1151C101,1,124,SOLE,
ACCENTURE PLC IRELAND,G1151C101,159399,19835611,DFND,
ACUITY INC,00508Y102,9750,3672435,DFND,
AIR PRODUCTS AND CHEMICALS I,009158106,88500,25946430,DFND,
AIRBNB INC,009066101,242389,34685867,DFND,
ALLSTATE CORP,020002101,154550,36773627,DFND,
ALPHABET INC,02079K305,72000,25730640,SOLE,
ALPHABET INC,02079K107,297230,105020276,SOLE,
ALPHABET INC,02079K305,500000,178685000,DFND,
ALPHABET INC,02079K107,2452630,866587757,DFND,
AMAZON COM INC,023135106,148432,35377283,SOLE,
AMAZON COM INC,023135106,1882328,448634056,DFND,
AMERICAN EXPRESS CO,025816109,10000,3382500,SOLE,
AMERICAN EXPRESS CO,025816109,480450,162512215,DFND,
ANALOG DEVICES INC,032654105,10000,3971700,SOLE,
ANALOG DEVICES INC,032654105,989671,393067630,DFND,
AON PLC,G0403H108,1500,497535,SOLE,
AON PLC,G0403H108,134300,44545968,DFND,
APOLLO GLOBAL MGMT INC,03769M106,22500,2661975,SOLE,
APOLLO GLOBAL MGMT INC,03769M106,990000,117126900,DFND,
APPLE INC,037833100,48200,13947152,SOLE,
APPLE INC,037833100,1179090,341181482,DFND,
APPLIED MATLS INC,038222105,36350,26281050,DFND,
ARCHER DANIELS MIDLAND CO,039483102,170727,13043543,SOLE,
ARCHER DANIELS MIDLAND CO,039483102,1335073,101999576,DFND,
BANK NEW YORK MELLON CORP,064058100,124500,18003945,DFND,
BERKLEY W R CORP,084423102,60750,4284699,DFND,
BERKSHIRE HATHAWAY INC DEL,084670108,590,441821500,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,1104460,552660740,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,524,392397400,DFND,
BERKSHIRE HATHAWAY INC DEL,084670702,427511,213922229,DFND,
BLACKROCK INC,09290D101,12000,11538720,SOLE,
BLACKROCK INC,09290D101,208200,200196792,DFND,
BLACKSTONE INC,09260D107,34500,4059615,SOLE,
BLACKSTONE INC,09260D107,1194500,140556814,DFND,
BROOKFIELD ASSET MANAGMT LTD,113004105,1238500,55546725,SOLE,
BROOKFIELD ASSET MANAGMT LTD,113004105,955453,42852066,DFND,
BROOKFIELD CORP,11271J107,4758206,202651994,SOLE,
BROOKFIELD CORP,11271J107,8315403,354153015,DFND,
BROWN & BROWN INC,115236101,14000,898100,DFND,
BROWN FORMAN CORP,115637100,164600,4503456,SOLE,
BROWN FORMAN CORP,115637209,145400,3874910,SOLE,
BROWN FORMAN CORP,115637100,678400,18561024,DFND,
BROWN FORMAN CORP,115637209,328787,8762174,DFND,
BRUNSWICK CORP,117043109,51250,4317300,DFND,
CANADIAN NATL RY CO,136375102,53500,6379340,DFND,
CANADIAN PACIFIC KANSAS CITY,13646K108,73000,6325450,DFND,
CAPITAL ONE FINL CORP,14040H105,7500,1504650,SOLE,
CAPITAL ONE FINL CORP,14040H105,83500,16751770,DFND,
CARLYLE GROUP INC,14316J108,44500,1873895,SOLE,
CARLYLE GROUP INC,14316J108,1282500,54006075,DFND,
CARMAX INC,143130102,7000,370230,SOLE,
CARMAX INC,143130102,129500,6849255,DFND,
CARRIER GLOBAL CORPORATION,14448C104,54600,4004910,SOLE,
CARRIER GLOBAL CORPORATION,14448C104,180400,13232340,DFND,
CATERPILLAR INC,149123101,10001,10650065,SOLE,
CATERPILLAR INC,149123101,318649,339329320,DFND,
CBOE GLOBAL MKTS INC,12503M108,43700,10604680,DFND,
CISCO SYS INC,17275R102,148000,17384080,SOLE,
CISCO SYS INC,17275R102,207500,24372950,DFND,
CME GROUP INC,12572Q105,49750,10986293,DFND,
COMCAST CORP NEW,20030N101,103000,2528650,SOLE,
COMCAST CORP NEW,20030N101,699074,17162267,DFND,
COMFORT SYS USA INC,199908104,13000,25765350,DFND,
COSTCO WHOLESALE CORPORATION,22160K105,39150,36623651,DFND,
CROWN HLDGS INC,228368106,3000,335460,SOLE,
CROWN HLDGS INC,228368106,217000,24264940,DFND,
CSX CORP,126408103,584500,27781285,DFND,
DEERE & CO,244199105,877900,556878306,DFND,
DIAGEO PLC,25243Q205,585314,47047539,SOLE,
DIAGEO PLC,25243Q205,786894,63250541,DFND,
DISNEY WALT CO,254687106,454237,43720311,SOLE,
DISNEY WALT CO,254687106,1577428,151827446,DFND,
DOLLAR GEN CORP,256677105,3500,402885,SOLE,
DOLLAR GEN CORP,256677105,865750,99656482,DFND,
DOMINOS PIZZA INC,25754A201,5500,1628220,DFND,
EAGLE MATLS INC,26969P108,14750,3318750,DFND,
EASTMAN CHEM CO,277432100,4000,267920,SOLE,
EASTMAN CHEM CO,277432100,70950,4752231,DFND,
ECOLAB INC,278865100,23000,6408030,SOLE,
ECOLAB INC,278865100,251300,70014693,DFND,
ENTERPRISE PRODS PARTNERS L,293792107,569000,20916440,DFND,
EQUIFAX INC,294429105,72850,11562752,DFND,
EXXON MOBIL CORP,30231G102,56100,7669992,DFND,
FACTSET RESH SYS INC,303075105,23000,5291840,SOLE,
FACTSET RESH SYS INC,303075105,112376,25855471,DFND,
FERGUSON ENTERPRISES INC,31488V107,180200,42766866,DFND,
FRANCO NEV CORP,351858105,773500,161228340,DFND,
GENERAL DYNAMICS CORP,369550108,44000,15586560,SOLE,
GENERAL DYNAMICS CORP,369550108,347000,122921280,DFND,
GOLDMAN SACHS GROUP INC,38141G104,23650,23918901,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,335710,339527023,DFND,
GRAHAM HLDGS CO,384637104,5200,5935384,DFND,
HAGERTY INC,405166109,3108000,35897400,SOLE,
HANOVER INS GROUP INC,410867105,6000,1284720,SOLE,
HANOVER INS GROUP INC,410867105,275000,58883000,DFND,
HCA HEALTHCARE INC,40412C101,84366,32893460,DFND,
HEICO CORP NEW,422806208,12202,3147018,SOLE,
HEICO CORP NEW,422806208,367442,94766966,DFND,
