Company,CUSIP,Shares,Value,Discretion,PutCall
DISNEY WALT CO,254687106,7464831,718042094,SOLE,
EXPEDIA GROUP INC,30212P303,2607606,385977840,SOLE,
INSIGHT ENTERPRISES INC,45765U103,4061739,874857963,SOLE,
LIBERTY MEDIA CORP DEL,531229748,671800,33260818,SOLE,
LIBERTY MEDIA CORP DEL,531229722,1337500,68653875,SOLE,
LIVE NATION ENTERTAINMENT IN,538034109,1014650,111094029,SOLE,
META PLATFORMS INC,30303M102,211500,121071060,SOLE,
ROBLOX CORP,771049103,10135921,448615863,SOLE,
SALESFORCE INC,79466L302,3914309,1071385516,SOLE,
VISA,92826C839,373600,102721320,SOLE,
