Company,CUSIP,Shares,Value,Discretion
ALLY FINL INC,02005N100,12719675,516291608,DFND
ALLY FINL INC,02005N100,2803875,113809286,DFND
ALLY FINL INC,02005N100,4228200,171622638,DFND
ALLY FINL INC,02005N100,3137000,127330830,DFND
ALLY FINL INC,02005N100,4836250,196303388,DFND
ALLY FINL INC,02005N100,1275000,51752250,DFND
AMAZON COM INC,023135106,7724000,1393255120,DFND
AMAZON COM INC,023135106,2276000,410544880,DFND
AMERICAN EXPRESS CO,025816109,1149942,261830294,DFND
AMERICAN EXPRESS CO,025816109,149061045,33939709336,DFND
AMERICAN EXPRESS CO,025816109,1399713,318700653,DFND
APPLE INC,037833100,692000,118664160,DFND
APPLE INC,037833100,3840000,658483200,DFND
APPLE INC,037833100,21907676,3756728280,DFND
APPLE INC,037833100,56824000,9744179520,DFND
APPLE INC,037833100,2724000,467111520,DFND
APPLE INC,037833100,15736207,2698444776,DFND
APPLE INC,037833100,61542988,10553391582,DFND
APPLE INC,037833100,12152000,2083824960,DFND
APPLE INC,037833100,47832000,8202231360,DFND
APPLE INC,037833100,559629579,95965280207,DFND
APPLE INC,037833100,2712000,465053760,DFND
APPLE INC,037833100,3776000,647508480,DFND
ATLANTA BRAVES HLDGS INC,047726302,108217,4226956,DFND
ATLANTA BRAVES HLDGS INC,047726302,96867,3783625,DFND
ATLANTA BRAVES HLDGS INC,047726302,14929,583127,DFND
ATLANTA BRAVES HLDGS INC,047726302,3632,141866,DFND
BANK AMER CORP,060505104,3920000,148646400,DFND
BANK AMER CORP,060505104,11900000,451248000,DFND
BANK AMER CORP,060505104,17482500,662936400,DFND
BANK AMER CORP,060505104,140000000,5308800000,DFND
BANK AMER CORP,060505104,31478000,1193645760,DFND
BANK AMER CORP,060505104,2100000,79632000,DFND
BANK AMER CORP,060505104,22751400,862733088,DFND
BANK AMER CORP,060505104,311780000,11822697600,DFND
BANK AMER CORP,060505104,11999000,455002080,DFND
BANK AMER CORP,060505104,39675000,1504476000,DFND
BANK AMER CORP,060505104,401966106,15242554740,DFND
BANK AMER CORP,060505104,28000000,1061760000,DFND
BANK AMER CORP,060505104,9800000,371616000,DFND
CAPITAL ONE FINL CORP,14040H105,1000000,148890000,DFND
CAPITAL ONE FINL CORP,14040H105,4988739,742773350,DFND
CAPITAL ONE FINL CORP,14040H105,3920291,583692127,DFND
CAPITAL ONE FINL CORP,14040H105,2137000,318177930,DFND
CAPITAL ONE FINL CORP,14040H105,425000,63278250,DFND
CHARTER COMMUNICATIONS INC N,16119P108,3828941,1112805123,DFND
CHEVRON CORP NEW,166764100,17564001,2770545518,DFND
CHEVRON CORP NEW,166764100,61400,9685236,DFND
CHEVRON CORP NEW,166764100,2092000,329992080,DFND
CHEVRON CORP NEW,166764100,36886881,5818536609,DFND
CHEVRON CORP NEW,166764100,2858400,450884016,DFND
CHEVRON CORP NEW,166764100,61579525,9713554274,DFND
CHEVRON CORP NEW,166764100,1938000,305700120,DFND
CITIGROUP INC,172967424,3645000,230509800,DFND
CITIGROUP INC,172967424,89000,5628360,DFND
CITIGROUP INC,172967424,28405025,1796333781,DFND
CITIGROUP INC,172967424,5685250,359535210,DFND
CITIGROUP INC,172967424,14407522,911131691,DFND
CITIGROUP INC,172967424,3013000,190542120,DFND
COCA COLA CO,191216100,800000,48944000,DFND
COCA COLA CO,191216100,371471,22726596,DFND
COCA COLA CO,191216100,85000,5200300,DFND
COCA COLA CO,191216100,80283200,4911726176,DFND
COCA COLA CO,191216100,1824000,111592320,DFND
COCA COLA CO,191216100,14411200,881677216,DFND
COCA COLA CO,191216100,14990400,917112672,DFND
COCA COLA CO,191216100,282722729,17296976560,DFND
COCA COLA CO,191216100,3552000,217311360,DFND
COCA COLA CO,191216100,960000,58732800,DFND
DAVITA INC,23918K108,17582088,2427207248,DFND
DAVITA INC,23918K108,18513482,2555786190,DFND
DIAGEO P L C,25243Q205,227750,33875535,DFND
FLOOR & DECOR HLDGS INC,339750101,2105000,272850100,DFND
FLOOR & DECOR HLDGS INC,339750101,1165900,151123958,DFND
FLOOR & DECOR HLDGS INC,339750101,80880,10483666,DFND
FLOOR & DECOR HLDGS INC,339750101,960120,124450754,DFND
FLOOR & DECOR HLDGS INC,339750101,468100,60675122,DFND
JEFFERIES FINL GROUP INC,47233W109,433558,19119908,DFND
KRAFT HEINZ CO,500754106,325634818,12015924784,DFND
KROGER CO,501044101,16607090,948763052,DFND
KROGER CO,501044101,768531,43906176,DFND
KROGER CO,501044101,5367119,306623508,DFND
KROGER CO,501044101,27257260,1557207264,DFND
LENNAR CORP,526057302,152572,23523551,DFND
LIBERTY MEDIA CORP DEL,531229722,3854511,168904672,DFND
LIBERTY MEDIA CORP DEL,531229722,143157,6273140,DFND
LIBERTY MEDIA CORP DEL,531229722,5529646,242309088,DFND
LIBERTY MEDIA CORP DEL,531229722,162620,7126008,DFND
