Company,CUSIP,Shares,Value,Discretion,PutCall
ALLIANCE RESOURCE PARTNERS L,01877R108,127000,3211195,SOLE,
AMERICAN AXLE & MFG HLDGS IN,024061103,1717095,10319741,SOLE,
BOISE CASCADE CO DEL,09739D100,37000,2860840,SOLE,
BREAD FINANCIAL HOLDINGS INC,018581108,270010,15058458,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,108000,4870800,SOLE,
BUCKLE INC,118440106,72000,4223520,SOLE,
BUILD-A-BEAR WORKSHOP INC,120076104,98000,6390580,SOLE,
CAL MAINE FOODS INC,128030202,62000,5834200,SOLE,
CARLYLE GROUP INC,14316J108,40000,2508000,SOLE,
CHORD ENERGY CORPORATION,674215207,52766,5243357,SOLE,
CONDUENT INC,206787103,4030825,11286310,SOLE,
CTO RLTY GROWTH INC NEW,22948Q101,429145,6995063,SOLE,
FOSSIL GROUP INC,34988V106,3326395,8548835,SOLE,
GANNETT CO INC,36472T109,3403265,14055484,SOLE,
GRAY MEDIA INC,389375106,3558215,20566483,SOLE,
ITURAN LOCATION AND CONTROL,M6158M104,215000,7679800,SOLE,
JACKSON FINANCIAL INC,46817M107,93825,9497905,SOLE,
JELD-WEN HLDG INC,47580P103,2068840,10158004,SOLE,
LINCOLN NATL CORP IND,534187109,520676,20998863,SOLE,
LYONDELLBASELL INDUSTRIES N,N53745100,38000,1863520,SOLE,
NABORS INDUSTRIES LTD,G6359F137,673095,27509393,SOLE,
ONEMAIN HLDGS INC,68268W103,91941,5190989,SOLE,
QUAD / GRAPHICS INC,747301109,2623475,16422953,SOLE,
SEMLER SCIENTIFIC INC,81684M104,53000,1590000,SOLE,
STELLANTIS N.V,N82405106,390000,3642600,SOLE,
STRATEGY INC,594972408,15250,4913702,SOLE,
TECHNIPFMC PLC,G87110105,7510,296269,SOLE,
TOTALENERGIES SE,89151E109,7650,456628,SOLE,
TUTOR PERINI CORP,901109108,6815,446996,SOLE,
UGI CORP NEW,902681105,262000,8714120,SOLE,
UNITED NAT FOODS INC,911163103,73445,2763001,SOLE,
UNITED PARCEL SERVICE INC,911312106,86600,7233698,SOLE,
UPBOUND GROUP INC,76009N100,20000,472600,SOLE,
VERIZON COMMUNICATIONS INC,92343V104,198000,8702100,SOLE,
VIATRIS INC,92556V106,619000,6128100,SOLE,
WESTERN ALLIANCE BANCORP,957638109,63455,5502818,SOLE,
