Company,CUSIP,Shares,Value,Discretion
ABM INDS INC,000957100,694464,36639921,SOLE
ADIENT PLC,G0084W101,2825491,63771332,SOLE
ADVANCE AUTO PARTS INC,00751Y106,2908658,113408575,SOLE
ALIBABA GROUP HLDG LTD,01609W102,65310,6930711,SOLE
AMBEV SA,02319V103,18351089,44776656,SOLE
AMDOCS LTD,G02602103,132812,11618394,DFND
AMDOCS LTD,G02602103,6230927,545081494,SOLE
AMERICAN INTL GROUP INC,026874784,475206,34799335,SOLE
AMERICAN WOODMARK CORPORATIO,030506109,483562,45188869,SOLE
ARCELORMITTAL SA LUXEMBOURG,03938L203,33198,871772,SOLE
ARROW ELECTRS INC,042735100,221239,29387176,SOLE
ASSOCIATED BANC CORP,045487105,2461851,53028271,SOLE
AVNET INC,053807103,8274168,449370064,SOLE
AXALTA COATING SYS LTD,G0750C108,36979,1338270,SOLE
AXIS CAP HLDGS LTD,G0692U109,593252,47228792,SOLE
BAIDU INC,056752108,330131,34759493,SOLE
BANK AMERICA CORP,060505104,343426,13627144,DFND
BANK AMERICA CORP,060505104,19139475,759454368,SOLE
BARCLAYS PLC,06738E204,85302,1036414,SOLE
BAXTER INTL INC,071813109,486104,18457369,DFND
BAXTER INTL INC,071813109,31736098,1205019641,SOLE
BELDEN INC,077454106,86976,10187499,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,880827,41909749,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,246566,12757325,DFND
BRISTOL-MYERS SQUIBB CO,110122108,13955180,722041013,SOLE
C H ROBINSON WORLDWIDE INC,12541W209,465027,51325030,SOLE
CAPITAL ONE FINL CORP,14040H105,104716,15679127,DFND
CAPITAL ONE FINL CORP,14040H105,6834836,1023379994,SOLE
CBRE GROUP INC,12504L109,395471,49228230,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,41416,13422097,DFND
CHARTER COMMUNICATIONS INC N,16119P108,2971804,963102240,SOLE
CIA ENERGETICA DE MINAS GERA,204409601,1583394,3261792,SOLE
CISCO SYS INC,17275R102,2228564,118604176,SOLE
CITIGROUP INC,172967424,283757,17763188,DFND
CITIGROUP INC,172967424,14842808,929159781,SOLE
CNO FINL GROUP INC,12621E103,4577890,160683939,SOLE
COGNIZANT TECHNOLOGY SOLUTIO,192446102,180764,13951366,DFND
COGNIZANT TECHNOLOGY SOLUTIO,192446102,18428824,1422336636,SOLE
