Company,CUSIP,Shares,Value,Discretion
3M Co.,88579Y101,9224,942601,SOLE
Abbott Laboratories,002824100,17857,1855521,SOLE
"AbbVie, Inc.",00287Y109,11006,1887749,SOLE
"Adobe, Inc.",00724F101,21602,12000775,SOLE
"Aegon, Ltd.",0076CA104,118143251,724218129,SOLE
"Afya, Ltd.",G01125106,29183,515080,SOLE
"Air Products & Chemicals, Inc.",009158106,2900,748345,SOLE
"Alibaba Group Holding, Ltd.",01609W102,18034070,1298453040,SOLE
"Alnylam Pharmaceuticals, Inc.",02043Q107,3780185,918584955,SOLE
"Alpha & Omega Semiconductor, Ltd.",G6331P104,50694,1894435,SOLE
"Alphabet, Inc.",02079K107,29421485,5396488779,SOLE
"Alphabet, Inc.",02079K305,12202672,2222716705,SOLE
"Altria Group, Inc.",02209S103,21000,956550,SOLE
"Amazon.com, Inc.",023135106,17334351,3349863331,SOLE
"American Electric Power Co., Inc.",025537101,11831805,1038122571,SOLE
American Express Co.,025816109,416269,96387087,SOLE
"Ameriprise Financial, Inc.",03076C106,1827,780476,SOLE
"Amgen, Inc.",031162100,14382,4493656,SOLE
"Analog Devices, Inc.",032654105,31815,7262092,SOLE
Anheuser-Busch InBev SA/NV,03524A108,31470885,1830031963,SOLE
APA Corp.,03743Q108,72850,2144704,SOLE
"Apple, Inc.",037833100,24318,5121857,SOLE
AstraZeneca PLC,046353108,149785,11681732,SOLE
"Avantor, Inc.",05352A100,65364190,1385720828,SOLE
"Baidu, Inc.",056752108,5883215,508780433,SOLE
Baker Hughes Co.,05722G100,46058888,1619891091,SOLE
Bancolombia SA,05968L102,13000,424450,SOLE
Bank of America Corp.,060505104,60616153,2410704386,SOLE
"Baxter International, Inc.",071813109,27522745,920635820,SOLE
"Becton, Dickinson & Co.",075887109,980,229036,SOLE
"Berkshire Hathaway, Inc.",084670702,12703,5167580,SOLE
"Berkshire Hathaway, Inc.",084670108,4,2448964,SOLE
"BioMarin Pharmaceutical, Inc.",09061G101,13930493,1146897489,SOLE
"BlackRock, Inc.",09247X101,750,590490,SOLE
"Booking Holdings, Inc.",09857L108,789804,3128808546,SOLE
Boston Scientific Corp.,101137107,97095,7477286,SOLE
"Brighthouse Financial, Inc.",10922N103,6688783,289891855,SOLE
Bristol-Myers Squibb Co.,110122108,15766898,654799274,SOLE
"Broadcom, Inc.",11135F101,3808,6113687,SOLE
"Cadence Design Systems, Inc.",127387108,261118,80359065,SOLE
Capital One Financial Corp.,14040H105,19939018,2760557042,SOLE
Carrier Global Corp.,14448C104,14367024,906271874,SOLE
"Caterpillar, Inc.",149123101,42276,14082136,SOLE
Celanese Corp.,150870103,6808019,918333683,SOLE
Cemex SAB de CV,151290889,644700,4119633,SOLE
"Charter Communications, Inc.",16119P108,11681107,3492183749,SOLE
Chevron Corp.,166764100,184453,28852138,SOLE
Cintas Corp.,172908105,500,350130,SOLE
"Cisco Systems, Inc.",17275R102,23912097,1136063728,SOLE
Cognizant Technology Solutions Corp.,192446102,18458724,1255193232,SOLE
Coherent Corp.,19247G107,14013619,1015426833,SOLE
Colgate-Palmolive Co.,194162103,14000,1358560,SOLE
Comcast Corp.,20030N101,72739344,2848472711,SOLE
ConocoPhillips,20825C104,11475600,1312579128,SOLE
Copa Holdings SA,P31076105,9350,889933,SOLE
"Corning, Inc.",219350105,48150,1870628,SOLE
"Corteva, Inc.",22052L104,25648,1383453,SOLE
"Coupang, Inc.",22266T109,12114152,253791484,SOLE
"Credicorp, Ltd.",G2519Y108,5474280,883165592,SOLE
CVS Health Corp.,126650100,61683343,3643018238,SOLE
Danaher Corp.,235851102,16525,4128771,SOLE
Deere & Co.,244199105,13036,4870641,SOLE
"Dell Technologies, Inc.",24703L202,38400,5295744,SOLE
Diageo PLC,25243Q205,13511,1703467,SOLE
"Dlocal, Ltd.",G29018101,44900,363241,SOLE
"Dominion Energy, Inc.",25746U109,22812448,1117809952,SOLE
"Dow, Inc.",260557103,17331,919410,SOLE
"DuPont de Nemours, Inc.",26614N102,17583,1415256,SOLE
"eBay, Inc.",278642103,15710,843941,SOLE
EchoStar Corp.,278768106,13564286,241579934,SOLE
"Elanco Animal Health, Inc.",28414H103,83583150,1206104855,SOLE
"Elevance Health, Inc.",036752103,1100,596046,SOLE
Eli Lilly & Co.,532457108,45978,41627562,SOLE
Exxon Mobil Corp.,30231G102,79812,9187957,SOLE
FedEx Corp.,31428X106,13394616,4016241661,SOLE
"Fidelity National Information Services, Inc.",31620M106,41435311,3122565037,SOLE
"Fiserv, Inc.",337738108,34371378,5122710177,SOLE
Flutter Entertainment PLC,G3643J108,624478,113879808,SOLE
Fox Corp.,35137L105,28594326,982786985,SOLE
Fox Corp.,35137L204,11366057,363941145,SOLE
Fresenius Medical Care AG,358029106,4223110,80619170,SOLE
"Gaming & Leisure Properties, Inc.",36467J108,6524863,294989056,SOLE
GE Aerospace,369604301,14312511,2275259874,SOLE
"GE HealthCare Technologies, Inc.",36266G107,16713150,1302288648,SOLE
"GE Vernova, Inc.",36828A101,182865,31363176,SOLE
"General Mills, Inc.",370334104,11200,708512,SOLE
Genuine Parts Co.,372460105,4675,646646,SOLE
"Geopark, Ltd.",G38327105,76814,841113,SOLE
"Gilead Sciences, Inc.",375558103,33122337,2272523542,SOLE
Grupo Televisa SAB,40049J206,64212690,177869151,SOLE
GSK PLC,37733W204,68337138,2630979813,SOLE
Haleon PLC,405552100,180170635,1488209445,SOLE
Halliburton Co.,406216101,87202,2945684,SOLE
"HDFC Bank, Ltd.",40415F101,2364300,152095419,SOLE
Hess Corp.,42809H107,46550,6867056,SOLE
Hewlett Packard Enterprise Co.,42824C109,747383,15822098,SOLE
"Honda Motor Co., Ltd.",438128308,22135475,713647714,SOLE
"Honeywell International, Inc.",438516106,8019,1712377,SOLE
"HP, Inc.",40434L105,35098525,1229150346,SOLE
"Humana, Inc.",444859102,4308536,1609884476,SOLE
Incyte Corp.,45337C102,15279343,926233773,SOLE
"Intercorp Financial Services, Inc.",P5626F128,27010,605294,SOLE
International Business Machines Corp.,459200101,34270,5926997,SOLE
"International Flavors & Fragrances, Inc.",459506101,28206607,2685551052,SOLE
"Intuitive Surgical, Inc.",46120E602,500,222425,SOLE
Itau Unibanco Holding SA,465562106,15228405,88933885,SOLE
"JD.com, Inc.",47215P106,22479249,580863794,SOLE
Johnson & Johnson,478160104,21097,3083538,SOLE
Johnson Controls International PLC,G51502105,85272989,5668095579,SOLE
"JOYY, Inc.",46591M109,34966,1052127,SOLE
JPMorgan Chase & Co.,46625H100,307915,62278888,SOLE
"Juniper Networks, Inc.",48203R104,34212790,1247398323,SOLE
Kaspi.KZ JSC,48581R205,5526,712909,SOLE
"KE Holdings, Inc.",482497104,38440,543926,SOLE
Las Vegas Sands Corp.,517834107,28400,1256700,SOLE
"Liberty Global, Ltd.",G61188127,8786768,156843809,SOLE
"Liberty Global, Ltd.",G61188101,4767561,83098588,SOLE
Linde PLC,G54950103,1326990,582296482,SOLE
Lockheed Martin Corp.,539830109,775,362003,SOLE
Loma Negra Cia Industrial Argentina SA,54150E104,30800,208208,SOLE
LyondellBasell Industries NV,N53745100,16158867,1545757217,SOLE
McDonald's Corp.,580135101,6550,1669202,SOLE
Medtronic PLC,G5960L103,6791555,534563294,SOLE
"Merck & Co., Inc.",58933Y105,158876,19668849,SOLE
"Meta Platforms, Inc.",30303M102,3829095,1930706281,SOLE
"MetLife, Inc.",59156R108,56353281,3955436793,SOLE
"Microchip Technology, Inc.",595017104,621961,56909432,SOLE
Microsoft Corp.,594918104,9414281,4207712893,SOLE
Molson Coors Beverage Co.,60871R209,14574964,740845420,SOLE
"Mondelez International, Inc.",609207105,11840,774810,SOLE
Moody's Corp.,615369105,1566,659176,SOLE
"Motorola Solutions, Inc.",620076307,8627,3330453,SOLE
"NetEase, Inc.",64110W102,1080952,103317392,SOLE
"Neurocrine Biosciences, Inc.",64125C109,1280820,176330489,SOLE
News Corp.,65249B109,10457182,288304508,SOLE
"NextEra Energy, Inc.",65339F101,23600,1671116,SOLE
"Noah Holdings, Ltd.",65487X102,26840,259006,SOLE
Norfolk Southern Corp.,655844108,10794867,2317549996,SOLE
Novartis AG,66987V109,12236526,1302700558,SOLE
Nucor Corp.,670346105,6200,980096,SOLE
"Nutrien, Ltd.",67077M108,12199059,621054094,SOLE
Occidental Petroleum Corp.,674599105,78361008,4939094334,SOLE
Occidental Petroleum Corp.,674599162,14270270,587364318,SOLE
Otis Worldwide Corp.,68902V107,21810,2099431,SOLE
Parker-Hannifin Corp.,701094104,2850,1441559,SOLE
"PayPal Holdings, Inc.",70450Y103,14100,818223,SOLE
"PepsiCo, Inc.",713448108,3075,507160,SOLE
Petroleo Brasileiro SA,71654V408,16500,239085,SOLE
"Pfizer, Inc.",717081103,115935,3243861,SOLE
"Philip Morris International, Inc.",718172109,17000,1722610,SOLE
Phillips 66,718546104,2600,367042,SOLE
"PPG Industries, Inc.",693506107,2200,276958,SOLE
"Qurate Retail, Inc.",74915M100,22000,13860,SOLE
"Regeneron Pharmaceuticals, Inc.",75886F107,2315686,2433855457,SOLE
Rio Tinto PLC,767204100,4000,263720,SOLE
RTX Corp.,75513E101,44284541,4445725071,SOLE
"S&P Global, Inc.",78409V104,5400,2408400,SOLE
Sanofi SA,80105N105,77109633,3741359393,SOLE
Schlumberger NV,806857108,670479,31633199,SOLE
Shell PLC,780259305,57713,4165724,SOLE
State Street Corp.,857477103,12914714,955688836,SOLE
"Sun Communities, Inc.",866674104,5576740,671104892,SOLE
