Company,CUSIP,Shares,Value,Discretion
ALIGN TECHNOLOGY INC,016255101,32993,8390780,DFND
ALPHABET INC,02079K305,346704,57500858,DFND
ALPHABET INC C,02079K107,646180,108034834,DFND
AMETEK INC,031100100,959222,164708010,DFND
ANALOG DEVICES INC,032654105,206111,47440569,DFND
APPLE INC,037833100,9852,2295516,DFND
ARISTA NETWORKS INC,040413106,106670,40942079,SOLE
BANK AMERICA CORP,060505104,990048,39285105,DFND
BANK OZK LITTLE ROCK ARK,06417N103,1197374,51475108,DFND
BERKSHIRE HATHAWAY INC DEL,084670702,489311,225210281,DFND
BERKSHIRE HATHAWAY INC DEL,084670108,7,4838260,SOLE
BOOKING HOLDINGS INC.,09857L108,20515,86411642,DFND
CAPITAL ONE FC,14040H105,14774,2212111,SOLE
CARMAX INC,143130102,1637125,126680733,DFND
COPART INC,217204106,27484,1440162,SOLE
COSTCO WHSL CORP NEW,22160K105,240,212765,SOLE
CREDIT ACCEP CORP MICH,225310101,29258,12973582,SOLE
DISNEY WALT CO,254687106,245548,23619262,DFND
DREAM FINDERS HOMES,26154D100,32202,1166034,SOLE
EDWARDS LIFESCIENCES CORP,28176E108,446288,29450545,DFND
FISERV INC,337738108,501278,90054593,DFND
FIVE BELOW INC,33829M101,725249,64075749,DFND
FLOOR & DECOR HLDGS INC,339750101,230681,28643660,DFND
FORTUNE BRANDS HOME & SEC IN,34964C106,446106,39939870,DFND
HEICO CORP NEW,422806208,732993,149354654,DFND
INSTALLED BLDG PRODS INC,45780R101,487115,119961811,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,16799,2698591,DFND
ISHARES SILVER TR,46428Q109,23000,653430,SOLE
ISHARES TR,464288752,10299,1309003,DFND
JPMORGAN CHASE & CO,46625H100,43324,9135299,DFND
KEYSIGHT TECHNOLOGIES INC,49338L103,481070,76456455,DFND
KINSALE CAPITAL GROUP IN,49714P108,86315,40185675,DFND
LIBERTY MEDIA CORP SERIES C LIBERTY MEDIA,531229854,15000,1161450,SOLE
LITTELFUSE INC,537008104,79015,20958729,DFND
LULULEMON ATHLETICA INC,550021109,141477,38389784,DFND
M & T BK CORP,55261F104,360591,64228469,DFND
MARKEL CORP,570535104,42684,66953269,DFND
MASTERCARD INCORPORATED,57636Q104,25546,12614615,DFND
MEDPACE HOLDINGS INC,58506Q109,227072,75796634,DFND
META PLATFORMS INC,30303M102,309942,177423198,DFND
NOVO-NORDISK A S,670100205,12400,1476468,SOLE
NVR INC,62944T105,13307,130565623,DFND
OLD DOMINION FREIGHT LINE IN,679580100,5255,1043853,SOLE
PROGRESSIVE CORP,743315103,536693,136191216,DFND
SCHWAB CHARLES CORP,808513105,935772,60647383,DFND
SITEONE LANDSCAPE SUPPLY INC,82982L103,3753,566365,SOLE
SPDR GOLD TR,78463V107,4206,1022310,DFND
SPDR S&P 500 ETF,78462F103,4752,2726508,DFND
STARBUCKS CORP,855244109,718004,69998210,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,14550,2526899,DFND
VISA INC,92826C839,391760,107714412,DFND
YUM CHINA HLDGS INC,98850P109,36036,1622341,SOLE
