Company,CUSIP,Shares,Value,Discretion
AMAZON COM INC,023135106,2810000,616991700,SOLE
APOLLO GLOBAL MGMT INC,03769M106,650000,86625500,SOLE
APOLLO GLOBAL MGMT INC,03769M304,900000,63252000,SOLE
AURORA INNOVATION INC,051774115,1835000,877000,SOLE
AURORA INNOVATION INC,051774107,1032463,2173719,SOLE
BAUSCH HEALTH COS INC,071734107,100000,645000,SOLE
BROOKFIELD CORP,11271J107,4675000,320611500,SOLE
CAPITAL ONE FINL CORP,14040H105,1385000,294423300,SOLE
CARPENTER TECHNOLOGY CORP,144285103,850000,208709000,SOLE
CASEYS GEN STORES INC,147528103,500000,282660000,SOLE
COMFORT SYS USA INC,199908104,200000,165036000,SOLE
COMMUNITY HEALTH SYS INC NEW,203668108,150000,481500,SOLE
CORE SCIENTIFIC INC NEW,21874A106,3000000,53820000,SOLE
COSTAR GROUP INC,22160N109,3017000,254544290,SOLE
CRH PLC,G25508105,2165000,259583500,SOLE
DANAHER CORPORATION,235851102,50000,9913000,SOLE
FLOOR & DECOR HLDGS INC,339750101,1330000,98021000,SOLE
FLUTTER ENTMT PLC,G3643J108,1120000,284480000,SOLE
FLYEXCLUSIVE INC,343928115,367499,116681,SOLE
FLYEXCLUSIVE INC,343928107,1022000,5048680,SOLE
HERTZ GLOBAL HLDGS INC,42806J148,3970000,14768400,SOLE
JACOBS SOLUTIONS INC,46982L108,915000,137121900,SOLE
KENVUE INC,49177J102,9000000,146070000,SOLE
KENVUE INC,49177J102,1500000,24345000,SOLE
LIVE NATION ENTERTAINMENT IN,538034109,1350000,220590000,SOLE
LPL FINL HLDGS INC,50212V100,594143,197665435,SOLE
MASTEC INC,576323109,725000,154287250,SOLE
META PLATFORMS INC,30303M102,220000,161563600,SOLE
MICROSOFT CORP,594918104,1100000,569745000,SOLE
MR COOPER GROUP INC,62482R107,925000,194980750,SOLE
NORFOLK SOUTHN CORP,655844108,1650000,495676500,SOLE
NVIDIA CORPORATION,67066G104,2850000,531753000,SOLE
PG&E CORP,69331C108,50100000,755508000,SOLE
PG&E CORP,69331CAL2,10000000,10112827,SOLE
PG&E CORP,69331C306,140000,5513200,SOLE
PRIMO BRANDS CORPORATION,741623102,5775000,127627500,SOLE
ROCKET COS INC,77311W101,4000000,77520000,SOLE
SHARKNINJA INC,G8068L108,1800000,185670000,SOLE
SOMNIGROUP INTERNATIONAL INC,88023U101,3000000,252990000,SOLE
SPDR S&P 500 ETF TR,78462F103,875000,582907500,SOLE
STRATA CRITICAL MEDICAL INC,092667104,5000000,25300000,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1100000,307219000,SOLE
TALEN ENERGY CORP,87422Q109,350000,148883000,SOLE
TELEPHONE & DATA SYS INC,879433829,6707274,263193432,SOLE
UNION PAC CORP,907818108,875000,206823750,SOLE
VISTRA CORP,92840M102,935000,183185200,SOLE
