Company,CUSIP,Shares,Value,Discretion,PutCall
ABBOTT LABORATORIES,002824100,1758160,180510287,SOLE,
ABM INDS INC,000957100,23998,924403,SOLE,
ACADEMY SPORTS & OUTDOORS IN,00402L107,8205,463172,SOLE,
ACADIA HEALTHCARE COMPANY IN,00404A109,1314116,30737173,SOLE,
ADVANCED MICRO DEVICES INC,007903107,676572,137635042,SOLE,
AECOM,00766T100,9847,835223,SOLE,
AGCO CORP,001084102,9653,1118493,SOLE,
ALCON AG,H01301128,12732,959356,SOLE,
ALLEGRO MICROSYSTEMS INC,01749D105,42224,1331323,SOLE,
ALPHABET INC,02079K107,872697,250341861,SOLE,
ALTRIA GROUP INC,02209S103,52322,3452729,SOLE,
AMAZON COM INC,023135106,2318015,482772984,SOLE,
AMENTUM HOLDINGS INC,023939101,46335,1208417,SOLE,
ANHEUSER BUSCH INBEV SA NV,03524A108,51020,3539257,SOLE,
ANTERO RESOURCES CORP,03674X106,20817,883473,SOLE,
APPLIED MATLS INC,038222105,869943,297337818,SOLE,
APPLIED OPTOELECTRONICS INC,03823U102,16193,1369766,SOLE,
ARCBEST CORP,03937C105,11094,1091206,SOLE,
ARGAN INC,04010E109,464759,253130989,SOLE,
ASML HLDG NV,N07059210,258377,341272093,SOLE,
ASTEC INDS INC,046224101,9472,509972,SOLE,
ASTERA LABS INC,04626A103,955356,104707018,SOLE,
AVANTOR INC,05352A100,100814,790382,SOLE,
AVIENT CORPORATION,05368V106,25650,931095,SOLE,
BANK NOVA SCOTIA B C,064149107,36701,2545626,SOLE,
BARRICK MNG CORP,06849F108,10976,448641,SOLE,
BENCHMARK ELECTRS INC,08160H101,12535,702712,SOLE,
BIO-TECHNE CORP,09073M104,4739721,247697819,SOLE,
BLOCK H & R INC,093671105,19943,632991,SOLE,
BOOKING HOLDINGS INC,09857L108,175,736806,SOLE,
BOSTON SCIENTIFIC CORP,101137107,4195089,263241835,SOLE,
BOSTON SCIENTIFIC CORP,101137107,1000000,62750000,SOLE,Call
BRITISH AMERN TOB PLC,110448107,35053,2049549,SOLE,
BRUNSWICK CORP,117043109,11743,854421,SOLE,
BUCKLE INC,118440106,14316,720954,SOLE,
BUNGE GLOBAL SA,H11356104,23975,3049620,SOLE,
BYRNA TECHNOLOGIES INC,12448X201,18430,169187,SOLE,
CALERES INC,129500104,69210,729473,SOLE,
CALIFORNIA RES CORP,13057Q305,11680,808490,SOLE,
CALLAWAY GOLF CO,131193104,29929,415415,SOLE,
CAMDEN PPTY TR,133131102,1867866,182415794,SOLE,
CAMPING WORLD HLDGS INC,13462K109,37663,257238,SOLE,
CANADIAN NAT RES LTD MED TER,136385101,46050,2246487,SOLE,
CANADIAN NATL RY CO,136375102,18775,1932799,SOLE,
CAPITAL ONE FINL CORP,14040H105,1248456,227755828,SOLE,
CARIBOU BIOSCIENCES INC,142038108,652542,1239830,SOLE,
CARTERS INC,146229109,20796,743665,SOLE,
CARVANA CO,146869102,420276,132126369,SOLE,
CELESTICA INC,15101Q207,11573,3265288,SOLE,
CELSIUS HLDGS INC,15118V207,10424,369844,SOLE,
CENOVUS ENERGY INC,15135U109,41248,1091378,SOLE,
CENTESSA PHARMACEUTICALS PLC,152309100,1854488,73660263,SOLE,
CHARLES RIV LABS INTL INC,159864107,8178,1410705,SOLE,
CHARTER COMMUNICATIONS INC,16119P108,2893,624541,SOLE,
CHOICE HOTELS INTL INC,169905106,6401,662504,SOLE,
CINEMARK HLDGS INC,17243V102,15289,436042,SOLE,
CITIZENS FINL GROUP INC,174610105,22222,1332653,SOLE,
CLOROX CO DEL,189054109,16486,1708444,SOLE,
COCA COLA CO,191216100,1284612,97694743,SOLE,
COHERENT CORP,19247G107,6869,1636264,SOLE,
COLUMBUS MCKINNON CORP N Y,199333105,36786,534501,SOLE,
COMPASS INC,20464U100,5172396,37810215,SOLE,
CONAGRA BRANDS INC,205887102,142740,2243873,SOLE,
CONCENTRA GROUP HOLDINGS PAR,20603L102,27560,591162,SOLE,
CONSTELLATION BRANDS INC,21036P108,2373,355950,SOLE,
