Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,267624,46167816,SOLE,
APPLE INC,037833100,178374,33841173,SOLE,
BOOKING HOLDINGS INC,09857L108,6289,23851627,SOLE,
CDW CORP,12514G108,98610,22033490,SOLE,
COPART INC,217204106,527209,29159930,SOLE,
EDWARDS LIFESCIENCES CORP,28176E108,245451,22129862,SOLE,
META PLATFORMS INC,30303M102,85922,41374743,SOLE,
MICROSOFT CORP,594918104,70615,29875624,SOLE,
MOTOROLA SOLUTIONS INC,620076307,80324,29320590,SOLE,
OLD DOMINION FREIGHT LINE IN,679580100,62254,11449730,SOLE,
OREILLY AUTOMOTIVE INC,67103H107,9098,9192437,SOLE,
PAYPAL HLDGS INC,70450Y103,513797,32831628,SOLE,
POOL CORP,73278L105,34316,13145576,SOLE,
S&P GLOBAL INC,78409V104,25151,10958499,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,253667,39465467,SOLE,
TEXAS PACIFIC LAND CORPORATI,88262P102,13699,8240794,SOLE,
TRACTOR SUPPLY CO,892356106,103684,28612655,SOLE,
UNITEDHEALTH GROUP INC,91324P102,60193,31152761,SOLE,
VISA INC,92826C839,131401,36989456,SOLE,
