Company,CUSIP,Shares,Value,Discretion
ACADIA HEALTHCARE COMPANY IN,00404A109,2553237,57932948,SOLE
ACADIAN ASSET MANAGEMENT INC,10948W103,32476,1144454,SOLE
ADECOAGRO S A,L00849106,48291,441380,SOLE
ADVANCED MICRO DEVICES INC,007903107,1172044,166313044,SOLE
AFFIRM HLDGS INC,00827B106,52206,3609523,SOLE
AIRBNB INC,009066101,26738,3538507,SOLE
ALAMOS GOLD INC NEW,011532108,27126,720467,SOLE
ALBERTSONS COS INC,013091103,64941,1396881,SOLE
ALIGHT INC,01626W101,110164,623528,SOLE
ALLSTATE CORP,020002101,21391,4306222,SOLE
ALLY FINL INC,02005N100,25826,1005923,SOLE
ALPHABET INC,02079K305,26637,4694239,SOLE
AMAZON COM INC,023135106,2060443,452040590,SOLE
AMERICAN AIRLS GROUP INC,02376R102,368638,4136118,SOLE
ANTERO RESOURCES CORP,03674X106,18278,736238,SOLE
APPLE INC,037833100,11229,2303854,SOLE
ARHAUS INC,04035M102,541052,4690921,SOLE
ASTERA LABS INC,04626A103,1032441,93353315,SOLE
ATKORE INC,047649108,14371,1013874,SOLE
AUTODESK INC,052769106,3146,973907,SOLE
AUTONATION INC,05329W102,4495,892932,SOLE
AUTOZONE INC,053332102,473,1755885,SOLE
AVIDXCHANGE HOLDINGS INC,05368X102,98448,963806,SOLE
AXALTA COATING SYS LTD,G0750C108,20434,606685,SOLE
BANK AMERICA CORP,060505104,3197214,151292166,SOLE
BJS RESTAURANTS INC,09180C106,20876,931070,SOLE
BJS WHSL CLUB HLDGS INC,05550J101,11455,1235193,SOLE
BLOCK INC,852234103,16185,1099447,SOLE
BLOOMIN BRANDS INC,094235108,563966,4855747,SOLE
BOOT BARN HLDGS INC,099406100,5251,798152,SOLE
BRIGHTHOUSE FINL INC,10922N103,12634,679330,SOLE
BROOKDALE SR LIVING INC,112463104,108647,756183,SOLE
BUCKLE INC,118440106,59946,2718551,SOLE
BUILD-A-BEAR WORKSHOP INC,120076104,53299,2748096,SOLE
BYRNA TECHNOLOGIES INC,12448X201,111794,3452199,SOLE
CAESARS ENTERTAINMENT INC NE,12769G100,26975,765820,SOLE
