Company,CUSIP,Shares,Value,Discretion
8X8 INC NEW,282914100,1125123,2497773,SOLE
AAR CORP,000361105,204,14831,SOLE
AAR CORP,000361105,199301,14489183,SOLE
ACADIA HEALTHCARE COMPANY IN,00404A109,154420,10429527,SOLE
ACCENTURE PLC IRELAND,G1151C101,2,607,SOLE
ACCENTURE PLC IRELAND,G1151C101,2689,815869,SOLE
ADAPTHEALTH CORP,00653Q102,897752,8977520,SOLE
ADTRAN HOLDINGS INC,00486H105,681807,3586305,SOLE
ADVANCED ENERGY INDS,007973100,112733,12260841,SOLE
ADVANSIX INC,00773T101,611077,14005885,SOLE
AGNICO EAGLE MINES LTD,008474108,6649187,434957835,SOLE
AIR LEASE CORP,00912X302,464,22054,SOLE
AIR LEASE CORP,00912X302,363323,17268742,SOLE
AIR TRANSPORT SERVICES GRP I,00922R105,503330,6981187,SOLE
AIRGAIN INC,00938A104,558309,3372186,SOLE
ALAMOS GOLD INC NEW,011532108,8066945,126558538,SOLE
ALIGN TECHNOLOGY INC,016255101,54,13037,SOLE
ALIGN TECHNOLOGY INC,016255101,2326,561566,SOLE
ALLEGIANT TRAVEL CO,01748X102,144013,7233773,SOLE
ALPHA & OMEGA SEMICONDUCTOR,G6331P104,471642,17625262,SOLE
ALPHABET INC,02079K107,39701,7281961,SOLE
ALPHABET INC,02079K107,6657634,1221143228,SOLE
ALPHABET INC,02079K305,54,9836,SOLE
ALPHABET INC,02079K305,3344644,609226905,SOLE
ALPHATEC HLDGS INC,02081G201,102500,1071125,SOLE
AMBEV SA,02319V103,6610212,13550934,SOLE
AMBEV SA,02319V103,303531252,622239067,SOLE
AMEDISYS INC,023436108,104,9547,SOLE
AMEDISYS INC,023436108,3430,314874,SOLE
AMERICAN EXPRESS CO,025816109,11366,2631874,SOLE
AMERICAN EXPRESS CO,025816109,2585793,598740369,SOLE
AMERICAN HOMES 4 RENT,02665T306,5467,203154,SOLE
AMERICAN VANGUARD CORP,030371108,520398,4475423,SOLE
AMERICAN WTR WKS CO INC NEW,030420103,1143,147630,SOLE
AMERIS BANCORP,03076K108,290033,14603162,SOLE
AMKOR TECHNOLOGY INC,031652100,581,23252,SOLE
AMKOR TECHNOLOGY INC,031652100,539218,21579504,SOLE
AMMO INC,00175J107,1390870,2336662,SOLE
AMTECH SYS INC,032332504,675844,3960446,SOLE
ANALOG DEVICES INC,032654105,17067,3895805,SOLE
ANALOG DEVICES INC,032654105,3813741,870524521,SOLE
ANGIODYNAMICS INC,03475V101,218369,1321132,SOLE
ANGLOGOLD ASHANTI PLC,G0378L100,1846100,46392493,SOLE
ARAMARK,03852U106,350,11907,SOLE
ARAMARK,03852U106,13385,455358,SOLE
ARC DOCUMENT SOLUTIONS INC,00191G103,218673,577297,SOLE
ARCH RESOURCES INC,03940R107,77600,11813048,SOLE
ARCOSA INC,039653100,136552,11389802,SOLE
ARMADA HOFFLER PPTYS INC,04208T108,882431,9786160,SOLE
ARTIVION INC,228903100,598148,15342496,SOLE
ASHLAND INC,044186104,112150,10597054,SOLE
ASTEC INDS INC,046224101,220251,6532645,SOLE
ASTRONICS CORP,046433108,391426,7840263,SOLE
ASURE SOFTWARE INC,04649U102,378901,3182768,SOLE
AVANTOR INC,05352A100,468,9922,SOLE
AVANTOR INC,05352A100,18014,381897,SOLE
AVIAT NETWORKS INC,05366Y201,123549,3544621,SOLE
AVNET INC,053807103,191,9835,SOLE
AVNET INC,053807103,197922,10191004,SOLE
AXIS CAP HLDGS LTD,G0692U109,214,15119,SOLE
AXIS CAP HLDGS LTD,G0692U109,205785,14538710,SOLE
AXOS FINANCIAL INC,05465C100,213572,12205640,SOLE
AZEK CO INC,05478C105,196,8257,SOLE
AZEK CO INC,05478C105,132929,5600299,SOLE
B2GOLD CORP,11777Q209,18116340,48605919,SOLE
BACKBLAZE INC,05637B105,1094490,6742058,SOLE
BANK AMERICA CORP,060505682,24541,29354963,SOLE
BANK NEW YORK MELLON CORP,064058100,65201,3904909,SOLE
BANK NEW YORK MELLON CORP,064058100,15645727,937022590,SOLE
BARNES GROUP INC,067806109,380998,15777127,SOLE
BARRICK GOLD CORP,067901108,805726,13439515,SOLE
BARRICK GOLD CORP,067901108,56228638,937893682,SOLE
BEAZER HOMES USA INC,07556Q881,400,10992,SOLE
BEAZER HOMES USA INC,07556Q881,459245,12620053,SOLE
BECTON DICKINSON & CO,075887109,11816,2761613,SOLE
BECTON DICKINSON & CO,075887109,2791439,652387209,SOLE
BELDEN INC,077454106,135,12663,SOLE
BELDEN INC,077454106,94756,8888113,SOLE
BENCHMARK ELECTRS INC,08160H101,277579,10953267,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,919,562649479,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,6103,2482627,SOLE
BIO RAD LABS INC,090572207,63,17206,SOLE
BIO RAD LABS INC,090572207,636212,173755859,SOLE
BJS RESTAURANTS INC,09180C106,110737,3842574,SOLE
BLACK HILLS CORP,092113109,95,5166,SOLE
BLACK HILLS CORP,092113109,310220,16869764,SOLE
BLACK STONE MINERALS L P,09225M101,5463,85605,SOLE
BOSTON PROPERTIES INC,101121101,3697278,227604434,SOLE
BRIGHTCOVE INC,10921T101,600334,1422792,SOLE
BRITISH AMERN TOB PLC,110448107,779478,24109257,SOLE
BROOKDALE SR LIVING INC,112463104,1070618,7312321,SOLE
BROWN & BROWN INC,115236101,12002,1073113,SOLE
BROWN & BROWN INC,115236101,3090448,276316956,SOLE
