Company,CUSIP,Shares,Value,Discretion
Aon PLC,G0403H108,3464683,1235436664,SOLE
IDEX Corp.,45167R104,344342,56045104,SOLE
"MercadoLibre, Inc.",58733R102,392,916080,SOLE
NVIDIA Corp.,67066G104,3400,634372,SOLE
"PriceSmart, Inc.",741511109,6156,746046,SOLE
"Zhihu, Inc.",98955N207,276897,1403868,SOLE
"Amrize, Ltd.",H2927K103,5786541,280418786,SOLE
UBS Group AG,H42097107,42641442,1752933940,SOLE
"Patria Investments, Ltd.",G69451105,21200,309520,SOLE
"ACM Research, Inc.",00108J109,122892,4808764,SOLE
3M Co.,88579Y101,7696,1194265,SOLE
Abbott Laboratories,002824100,17324,2320377,SOLE
"AbbVie, Inc.",00287Y109,10473,2424918,SOLE
"Adobe, Inc.",00724F101,1593506,562109242,SOLE
"Aegon, Ltd.",0076CA104,85783505,685410205,SOLE
"Affiliated Managers Group, Inc.",008252108,2400,572232,SOLE
"Afya, Ltd.",G01125106,35262,550087,SOLE
"Air Products & Chemicals, Inc.",009158106,9004892,2455814146,SOLE
"Alibaba Group Holding, Ltd.",01609W102,10975370,1961627880,SOLE
"Alnylam Pharmaceuticals, Inc.",02043Q107,2321230,1058480880,SOLE
"Alphabet, Inc.",02079K107,13992737,3407931096,SOLE
"Alphabet, Inc.",02079K305,11338777,2756456689,SOLE
"Altria Group, Inc.",02209S103,21000,1387260,SOLE
"Amazon.com, Inc.",023135106,16296330,3578185178,SOLE
Ambev SA,02319V103,276300,616149,SOLE
"American Electric Power Co., Inc.",025537101,9523516,1071395550,SOLE
American Express Co.,025816109,345492,114758623,SOLE
"Ameriprise Financial, Inc.",03076C106,1500,736875,SOLE
"Amgen, Inc.",031162100,13367,3772167,SOLE
"Analog Devices, Inc.",032654105,30805,7568789,SOLE
Anheuser-Busch InBev SA/NV,03524A108,36546221,2178520234,SOLE
APA Corp.,03743Q108,35200,854656,SOLE
"Apple, Inc.",037833100,31322,7975521,SOLE
