Company,CUSIP,Shares,Value,Discretion,PutCall
ABM INDS INC,000957100,1522936,58663495,SOLE,
ACCENTURE PLC IRELAND,G1151C101,20325,4030244,DFND,
ACCENTURE PLC IRELAND,G1151C101,2385358,472992562,SOLE,
ADIENT PLC,G0084W101,3635297,73469352,SOLE,
ADOBE INC,00724F101,1010,245511,SOLE,
ADVANCE AUTO PARTS INC,00751Y106,4301089,226882445,SOLE,
AEBI SCHMIDT HLDG AG,H00501108,4110850,39916354,SOLE,
ALIBABA GROUP HLDG LTD,01609W102,28435,3567394,SOLE,
ALPHABET INC,02079K305,171157,49217907,SOLE,
AMBEV SA,02319V103,4717328,13774599,SOLE,
AMDOCS LTD,G02602103,159898,10434943,DFND,
AMDOCS LTD,G02602103,12521191,817132925,SOLE,
AMERICAN INTL GROUP INC,026874784,449749,33843612,SOLE,
AMERICAN WOODMARK CORP,030506109,1643562,65463074,SOLE,
ARCELORMITTAL SA LUXEMBOURG,03938L203,18409,956894,SOLE,
ARCOS DORADOS HLDGS INC,G0457F107,10741166,88614620,SOLE,
ARROW ELECTRS INC,042735100,211048,30266394,SOLE,
ASSOCIATED BANC-CORP,045487105,1922982,49728315,SOLE,
AUTODESK INC,052769106,1018,243709,SOLE,
AVNET INC,053807103,5692230,350755213,SOLE,
BAIDU INC,056752108,48767,5433619,SOLE,
BANK AMERICA CORP,060505104,262797,12811354,DFND,
BANK AMERICA CORP,060505104,6159957,300297904,SOLE,
BARCLAYS PLC,06738E204,17888,378519,SOLE,
BAXTER INTL INC,071813109,1082862,18192082,DFND,
BAXTER INTL INC,071813109,63444961,1065875345,SOLE,
BREAD FINANCIAL HOLDINGS INC,018581108,613673,45957971,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,246566,14954228,DFND,
BRISTOL-MYERS SQUIBB CO,110122108,16849165,1021901857,SOLE,
CAPITAL ONE FINL CORP,14040H105,69935,12758242,DFND,
CAPITAL ONE FINL CORP,14040H105,4510185,822793050,SOLE,
CBRE GROUP INC,12504L109,301871,40891446,SOLE,
CDW CORP,12514G108,37868,4582785,DFND,
CDW CORP,12514G108,1077667,130419260,SOLE,
CIA ENERGETICA DE MINAS GERA,204409601,1080784,2583074,SOLE,
CIRRUS LOGIC INC,172755100,2114,305727,SOLE,
CISCO SYS INC,17275R102,1308740,101545137,SOLE,
CITIGROUP INC,172967424,148267,16814960,DFND,
CITIGROUP INC,172967424,8027097,910353071,SOLE,
CNO FINL GROUP INC,12621E103,2470921,101456016,SOLE,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,192775,11826746,DFND,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,20069587,1231269162,SOLE,
COLUMBIA BKG SYS INC,197236102,2033219,55771197,SOLE,
CONCENTRIX CORP,20602D101,2943212,80526280,SOLE,
CONSTELLATION BRANDS INC,21036P108,595795,89369250,SOLE,
COREBRIDGE FINL INC,21871X109,510249,12174541,DFND,
COREBRIDGE FINL INC,21871X109,26535545,633138104,SOLE,
