Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,247035,46763659,SOLE,
APPLE INC,037833100,163857,41033180,SOLE,
BOOKING HOLDINGS INC,09857L108,5816,28897558,SOLE,
CDW CORP,12514G108,90447,15741469,SOLE,
COPART INC,217204106,488433,28031170,SOLE,
EDWARDS LIFESCIENCES CORP,28176E108,339436,25128447,SOLE,
ISHARES TR,464287614,3874,1555721,SOLE,
META PLATFORMS INC,30303M102,79557,46581181,SOLE,
MICROSOFT CORP,594918104,65219,27489780,SOLE,
MOTOROLA SOLUTIONS INC,620076307,56490,26111596,SOLE,
OLD DOMINION FREIGHT LINE IN,679580100,57406,10126387,SOLE,
OREILLY AUTOMOTIVE INC,67103H107,8464,10036611,SOLE,
PAYPAL HLDGS INC,70450Y103,469829,40099905,SOLE,
POOL CORP,73278L105,29810,10163297,SOLE,
S&P GLOBAL INC,78409V104,23360,11633995,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,236828,46771149,SOLE,
TRACTOR SUPPLY CO,892356106,479596,25447390,SOLE,
UNITEDHEALTH GROUP INC,91324P102,55384,28016781,SOLE,
VISA INC,92826C839,121199,38303600,SOLE,
