Company,CUSIP,Shares,Value,Discretion
"Agilent Technologies, Inc. (A)",00846U101,10700,1588736,SOLE
Arrow Electronics Inc (ARW),042735100,1884373,250301266,SOLE
Avnet Inc (AVT),053807103,3924652,213147850,SOLE
Berkshire Hathaway Inc. Class B (BRK/B),084670702,1001,460720,SOLE
Citigroup Inc (C),172967424,16883391,1056900277,SOLE
CRH PLC  (CRH),G25508105,11155273,1034540018,SOLE
"D R Horton, Inc. (DHI)",23331A109,3671505,700413009,SOLE
Genpact LTD (G),G3922B107,1243813,48769908,SOLE
General Motors Co (GM),35045V100,23830856,1068575583,SOLE
Goldman Sachs (GS),38141G104,9040,4475794,SOLE
International Paper Co (IP),460146103,35288,1723819,SOLE
J P Morgan Chase (JPM),46625H100,5000,1054300,SOLE
Lear Corporation (LEA),521865204,1819646,198614361,SOLE
Lennar Corporation - A (LEN),526057104,9087186,1703665631,SOLE
Lennar Corporation - B SHS (LEN/B),526057302,364331,63007403,SOLE
Morgan Stanley (MS),617446448,10000,1042400,SOLE
Meritage Homes Corp (MTH),59001A102,744363,152646520,SOLE
NOV INC (NOV),62955J103,2035376,32504955,SOLE
Oshkosh Corp (OSK),688239201,2536484,254181062,SOLE
PulteGroup Inc. (PHM),745867101,5593179,802788982,SOLE
Charles Schwab Corporation (SCHW),808513105,20000,1296200,SOLE
Terex Corp (TEX),880779103,1499843,79356693,SOLE
"Toll Brothers, Inc. (TOL)",889478103,5542130,856203664,SOLE
Union Pacific Corp (UNP),907818108,2032,500847,SOLE
