Company,CUSIP,Shares,Value,Discretion
ACUITY BRANDS INC,00508Y102,21567,5795700,SOLE
ADIENT PLC,G0084W101,1978961,65147396,SOLE
ADVANCE AUTO PARTS INC,00751Y106,1252733,106595051,SOLE
ALBEMARLE CORP,012653101,1523,200640,SOLE
ALIBABA GROUP HLDG LTD,01609W102,65393,4731838,SOLE
AMBEV SA,02319V103,14205334,35229228,SOLE
AMDOCS LTD,G02602103,67795,6126634,DFND
AMDOCS LTD,G02602103,4186982,378377563,SOLE
AMERICAN INTL GROUP INC,026874784,85780,6705423,DFND
AMERICAN INTL GROUP INC,026874784,1609094,125782878,SOLE
AMERICAN WOODMARK CORPORATIO,030506109,539856,54881761,SOLE
ARCELORMITTAL SA LUXEMBOURG,03938L203,24122,665284,SOLE
ARCH CAP GROUP LTD,G0450A105,5691,526076,SOLE
ARROW ELECTRS INC,042735100,221245,28642378,SOLE
ASSOCIATED BANC CORP,045487105,2592922,55773752,SOLE
AVNET INC,053807103,20818,1032156,DFND
AVNET INC,053807103,8573717,425084889,SOLE
AXALTA COATING SYS LTD,G0750C108,3191194,109745162,SOLE
AXIS CAP HLDGS LTD,G0692U109,1790876,116442758,SOLE
BAIDU INC,056752108,298781,31455664,SOLE
BANK AMERICA CORP,060505104,343426,13022714,DFND
BANK AMERICA CORP,060505104,42316,1604623,DFND
BANK AMERICA CORP,060505104,21080049,799355458,SOLE
BARCLAYS PLC,06738E204,101228,956608,SOLE
BAXTER INTL INC,071813109,380684,16270434,DFND
BAXTER INTL INC,071813109,43825,1873081,DFND
BAXTER INTL INC,071813109,23980911,1024944136,SOLE
BELDEN INC,077454106,854556,79140431,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,704743,26244629,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,171240,9286345,DFND
BRISTOL-MYERS SQUIBB CO,110122108,24612,1334709,DFND
BRISTOL-MYERS SQUIBB CO,110122108,12098061,656077848,SOLE
C H ROBINSON WORLDWIDE INC,12541W209,873048,66473875,SOLE
CAPITAL ONE FINL CORP,14040H105,92518,13775005,DFND
CAPITAL ONE FINL CORP,14040H105,12961,1929763,DFND
CAPITAL ONE FINL CORP,14040H105,7192086,1070829685,SOLE
CARDINAL HEALTH INC,14149Y108,661064,73973062,SOLE
CBRE GROUP INC,12504L109,671431,65289950,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,37324,10847474,DFND
CHARTER COMMUNICATIONS INC N,16119P108,5340,1551964,DFND
CHARTER COMMUNICATIONS INC N,16119P108,2805795,815448201,SOLE
CIA ENERGETICA DE MINAS GERA,204409601,1217996,3008450,SOLE
CISCO SYS INC,17275R102,1038547,51833881,SOLE
CITIGROUP INC,172967424,292523,18499155,DFND
CITIGROUP INC,172967424,34973,2211693,DFND
CITIGROUP INC,172967424,15995020,1011525065,SOLE
CNO FINL GROUP INC,12621E103,6536980,179636210,SOLE
COGNIZANT TECHNOLOGY SOLUTIO,192446102,157262,11525732,DFND
COGNIZANT TECHNOLOGY SOLUTIO,192446102,28598,2095947,DFND
