Company,CUSIP,Shares,Value,Discretion
BERKSHIRE HATHAWAY INC DEL,084670702,484470,197082396,DFND
AMETEK INC,031100100,936696,156156590,DFND
META PLATFORMS INC,30303M102,297713,150112849,DFND
HEICO CORP NEW,422806208,723697,128470691,DFND
ALPHABET INC C,02079K107,647436,118752711,DFND
CARMAX INC,143130102,1594948,116973486,DFND
PROGRESSIVE CORP,743315103,534821,111087670,DFND
VISA INC,92826C839,386967,101567228,DFND
NVR INC,62944T105,13179,100009632,DFND
INSTALLED BLDG PRODS INC,45780R101,471552,96988815,DFND
BOOKING HOLDINGS INC.,09857L108,20003,79241885,DFND
MEDPACE HOLDINGS INC,58506Q109,188094,77466514,DFND
FIVE BELOW INC,33829M101,697875,76047439,DFND
FISERV INC,337738108,484933,72274414,DFND
KEYSIGHT TECHNOLOGIES INC,49338L103,479558,65579557,DFND
MARKEL CORP,570535104,41471,65344196,DFND
SCHWAB CHARLES CORP,808513105,869813,64096520,DFND
ALPHABET INC,02079K305,310083,56481618,DFND
STARBUCKS CORP,855244109,715626,55711484,DFND
M & T BK CORP,55261F104,345262,52258856,DFND
BANK OZK LITTLE ROCK ARK,06417N103,1194539,48976099,DFND
ANALOG DEVICES INC,032654105,200423,45748554,DFND
EDWARDS LIFESCIENCES CORP,28176E108,446016,41198498,DFND
BANK AMERICA CORP,060505104,986115,39217794,DFND
LULULEMON ATHLETICA INC,550021109,130113,38864753,DFND
ARISTA NETWORKS INC,040413106,97619,34213507,SOLE
FORTUNE BRANDS HOME & SEC IN,34964C106,445631,28939277,DFND
FLOOR & DECOR HLDGS INC,339750101,276298,27466784,DFND
DISNEY WALT CO,254687106,233262,23160584,DFND
LITTELFUSE INC,537008104,78692,20112888,DFND
CREDIT ACCEP CORP MICH,225310101,25107,12922071,SOLE
KINSALE CAPITAL GROUP IN,49714P108,32744,12615608,DFND
MASTERCARD INCORPORATED,57636Q104,23524,10377848,DFND
JPMORGAN CHASE & CO,46625H100,40226,8136111,DFND
ALIGN TECHNOLOGY INC,016255101,29991,7240727,DFND
FERGUSON PLC NEW F,G3421J106,29765,5763992,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,7,4285687,SOLE
SPDR S&P 500 ETF,78462F103,4752,2586133,DFND
APPLE INC,037833100,10027,2111887,DFND
NOVO-NORDISK A S,670100205,12400,1769976,SOLE
COPART INC,217204106,27484,1488533,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,8163,1418811,SOLE
ISHARES TR,464288752,12562,1269516,DFND
AIRBNB INC CL-A,009066101,7055,1069750,SOLE
SPDR GOLD TR,78463V107,4206,904332,DFND
OLD DOMINION FREIGHT LINE IN,679580100,4724,834258,SOLE
DREAM FINDERS HOMES,26154D100,32202,831456,SOLE
ISHARES SILVER TR,46428Q109,23000,611110,SOLE
SITEONE LANDSCAPE SUPPLY INC,82982L103,3753,455652,SOLE
GRAYSCALE BITCOIN TR BTC,389637109,7442,396212,SOLE
