Company,CUSIP,Shares,Value,Discretion
Petroleo Brasileiro SA - Petrobras,71654V408,30400,380304,SOLE
Archer-Daniels-Midland Co.,039483102,6549624,345689155,SOLE
BioNTech SE,09075V102,877437,93420717,SOLE
"Laureate Education, Inc.",518613203,13100,306278,SOLE
"Teledyne Technologies, Inc.",879360105,1497740,767307179,SOLE
Willis Towers Watson PLC,G96629103,1278423,391836650,SOLE
"ACM Research, Inc.",00108J109,81092,2100283,SOLE
Grupo Cibest SA,40090E106,12046,556405,SOLE
JBS NV,N4732M103,15950,233030,SOLE
Ralliant Corp.,750940108,10797506,523571050,SOLE
"Patria Investments, Ltd.",G69451105,21200,298072,SOLE
UBS Group AG,H42097107,45635942,1544315494,SOLE
"Amrize, Ltd.",H2927K103,12470706,622084844,SOLE
3M Co.,88579Y101,9146,1392387,SOLE
Abbott Laboratories,002824100,17324,2356237,SOLE
"AbbVie, Inc.",00287Y109,10473,1943998,SOLE
"Adobe, Inc.",00724F101,19657,7604900,SOLE
"Aegon, Ltd.",0076CA104,88737090,642456532,SOLE
"Affiliated Managers Group, Inc.",008252108,3000,590310,SOLE
"Afya, Ltd.",G01125106,35262,629779,SOLE
"Air Products & Chemicals, Inc.",009158106,8821400,2488164084,SOLE
"Alibaba Group Holding, Ltd.",01609W102,10964270,1243457861,SOLE
"Alnylam Pharmaceuticals, Inc.",02043Q107,3197096,1042541035,SOLE
"Alphabet, Inc.",02079K107,14179423,2515287846,SOLE
"Alphabet, Inc.",02079K305,11275218,1987031668,SOLE
"Altria Group, Inc.",02209S103,21000,1231230,SOLE
"Amazon.com, Inc.",023135106,16592150,3640151789,SOLE
Ambev SA,02319V103,260400,627564,SOLE
"American Electric Power Co., Inc.",025537101,9572403,993232535,SOLE
American Express Co.,025816109,358414,114326898,SOLE
"Ameriprise Financial, Inc.",03076C106,1827,975125,SOLE
"Amgen, Inc.",031162100,13682,3820151,SOLE
"Analog Devices, Inc.",032654105,30805,7332206,SOLE
Anheuser-Busch InBev SA/NV,03524A108,38477542,2644176686,SOLE
APA Corp.,03743Q108,41600,760864,SOLE
"Apple, Inc.",037833100,30244,6205161,SOLE
"Arcos Dorados Holdings, Inc.",G0457F107,109966,867632,SOLE
AstraZeneca PLC,046353108,137488,9607661,SOLE
"Avantor, Inc.",05352A100,117433484,1580654695,SOLE
"Baidu, Inc.",056752108,5427715,465480838,SOLE
Baker Hughes Co.,05722G100,44582813,1709305050,SOLE
Bank of America Corp.,060505104,17860502,845158939,SOLE
"Baxter International, Inc.",071813109,52121620,1578242654,SOLE
"Berkshire Hathaway, Inc.",084670702,12740,6188710,SOLE
"Berkshire Hathaway, Inc.",084670108,4,2915200,SOLE
"BioMarin Pharmaceutical, Inc.",09061G101,15108310,830503801,SOLE
"Blackrock, Inc.",09290D101,655,687259,SOLE
"Booking Holdings, Inc.",09857L108,730473,4228883511,SOLE
Boston Scientific Corp.,101137107,90385,9708253,SOLE
Bristol-Myers Squibb Co.,110122108,8436759,390537595,SOLE
"Broadcom, Inc.",11135F101,21180,5838267,SOLE
"Cadence Design Systems, Inc.",127387108,246472,75950347,SOLE
Capital One Financial Corp.,14040H105,12856456,2735339579,SOLE
Carrier Global Corp.,14448C104,12776049,935079026,SOLE
"Caterpillar, Inc.",149123101,41921,16274151,SOLE
Celanese Corp.,150870103,15324667,847913825,SOLE
Cemex SAB de CV,151290889,95023835,658515177,SOLE
"Charter Communications, Inc.",16119P108,11126486,4548618742,SOLE
Chevron Corp.,166764100,181857,26040104,SOLE
"Chubb, Ltd.",H1467J104,722,209178,SOLE
Cia Energetica de Minas Gerais,204409601,15000,29400,SOLE
Cintas Corp.,172908105,2000,445740,SOLE
"Cisco Systems, Inc.",17275R102,621455,43116549,SOLE
Cognizant Technology Solutions Corp.,192446102,16267302,1269337575,SOLE
Coherent Corp.,19247G107,1731595,154475590,SOLE
Colgate-Palmolive Co.,194162103,14000,1272600,SOLE
Comcast Corp.,20030N101,111272320,3971309101,SOLE
ConocoPhillips,20825C104,11235453,1008269552,SOLE
Copa Holdings SA,P31076105,3950,434382,SOLE
"Corning, Inc.",219350105,39900,2098341,SOLE
"Corteva, Inc.",22052L104,20961,1562223,SOLE
"Coupang, Inc.",22266T109,46614520,1396571019,SOLE
"Credicorp, Ltd.",G2519Y108,5147380,1150542378,SOLE
CVS Health Corp.,126650100,73288766,5055459079,SOLE
Danaher Corp.,235851102,16525,3264349,SOLE
Deere & Co.,244199105,12736,6476129,SOLE
"Dell Technologies, Inc.",24703L202,24630,3019638,SOLE
Diageo PLC,25243Q205,11197,1129105,SOLE
"Dlocal, Ltd.",G29018101,36700,416178,SOLE
"Dominion Energy, Inc.",25746U109,22925248,1295735017,SOLE
"Dow, Inc.",260557103,14210,376281,SOLE
