Company,CUSIP,Shares,Value,Discretion,PutCall
ACCENTURE PLC IRELAND,G1151C101,106850,37769338,SOLE,
ACI WORLDWIDE INC,004498101,356600,18150940,SOLE,
ADOBE SYSTEMS INC,00724F101,40000,20711200,SOLE,
ALPHABET INC,02079K107,566975,94792550,SOLE,
AMAZON COM INC,023135106,252500,47048325,SOLE,
ANALOG DEVICES INC,032654105,141000,32453970,SOLE,
AON PLC,G0403H108,260950,90286091,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,323200,148756032,SOLE,
BIO-TECHNE CORP,09073M104,47200,3772696,SOLE,
CARMAX INC,143130102,845200,65401576,SOLE,
CHARTER COMMUNICATIONS INC,16119P108,135450,43896636,SOLE,
COMCAST CORP NEW,20030N101,95000,3968150,SOLE,
CORECARD CORPORATION,45816D100,515000,7477800,SOLE,
COSTAR GROUP INC,22160N109,886500,66877560,SOLE,
DANAHER CORPORATION,235851102,350910,97559998,SOLE,
DIAGEO PLC,25243Q205,28300,3971622,SOLE,
EQUIFAX INC,294429105,176000,51719360,SOLE,
FIDELITY NATL INFORMATION SV,31620M106,412500,34546875,SOLE,
FORTIVE CORP,34959J108,40800,3220344,SOLE,
GARTNER INC,366651107,64425,32648013,SOLE,
GLOBAL PMTS INC,37940X102,610000,62476200,SOLE,
GUIDEWIRE SOFTWARE INC,40171V100,96700,17690298,SOLE,
HEICO CORP NEW,422806208,162900,33192504,SOLE,
HONEYWELL INTL INC,438516106,11300,2335823,SOLE,
IDEX CORP,45167R104,282650,60628425,SOLE,
LABCORP HOLDINGS INC,504922105,236350,52819498,SOLE,
LIBERTY BROADBAND CORP,530307107,140000,10754800,SOLE,
LIBERTY BROADBAND CORP,530307305,530500,41002345,SOLE,
LIBERTY GLOBAL LTD,G61188127,1346500,29097865,SOLE,
LINDE PLC,G54950103,6900,3290334,SOLE,
LKQ CORP,501889208,458100,18287352,SOLE,
MARTIN MARIETTA MATLS INC,573284106,40675,21893319,SOLE,
MASTERCARD INCORPORATED,57636Q104,203350,100414230,SOLE,
META PLATFORMS INC,30303M102,167200,95711968,SOLE,
MICROCHIP TECHNOLOGY INC.,595017104,259600,20843284,SOLE,
MICROSOFT CORP,594918104,40950,17620785,SOLE,
OLD DOMINION FREIGHT LINE IN,679580100,209900,41694536,SOLE,
ORACLE CORP,68389X105,214700,36584880,SOLE,
PERIMETER SOLUTIONS SA,L7579L106,2324500,31264525,SOLE,
ROPER TECHNOLOGIES INC,776696106,66500,37003260,SOLE,
RWT HLDGS INC,749772AD1,3500000,3447500,SOLE,
S&P GLOBAL INC,78409V104,54225,28013720,SOLE,
SALESFORCE COM INC,79466L302,95000,26002450,SOLE,
SIRIUSXM HOLDINGS INC,829933100,1261999,29846276,SOLE,
TEXAS INSTRS INC,882508104,169575,35029108,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,120200,74352114,SOLE,
VERALTO CORP,92338C103,298699,33412470,SOLE,
VERISIGN INC,92343E102,63150,11995974,SOLE,
VISA INC,92826C839,359200,98762040,SOLE,
VULCAN MATLS CO,929160109,191550,47969867,SOLE,
