Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,2560500,375318090,SOLE
ALPHABET INC,02079K107,1855400,582224520,SOLE
APPLE INC,037833100,32358507,8796983713,SOLE
ASML HOLDING N V,N07059210,9900,10591614,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,7176196,3607114919,SOLE
COREWEAVE INC,21873S108,299900,21475839,SOLE
CREDO TECHNOLOGY GROUP HOLDI,G25457105,141300,20331657,SOLE
DISNEY WALT CO,254687106,712000,81004240,SOLE
MICROSOFT CORP,594918104,859000,415429580,SOLE
NVIDIA CORPORATION,67066G104,7237100,1349719150,SOLE
OCCIDENTAL PETE CORP,674599105,13172600,541657312,SOLE
PDD HOLDINGS INC,722304102,11536694,1308145733,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1224384,372078054,SOLE
TEMPUS AI INC,88023B103,110000,6495500,SOLE
