Company,CUSIP,Shares,Value,Discretion
23ANDME HOLDING CO,90138Q108,34890,134,SOLE
23ANDME HOLDING CO,90138Q108,10171,39,OTR
23ANDME HOLDING CO,90138Q108,28530,109,OTR
AST SPACEMOBILE INC,00217D100,160090,1598,OTR
AST SPACEMOBILE INC,00217D100,236250,2358,SOLE
AST SPACEMOBILE INC,00217D100,31160,311,OTR
ATLAS AIR WORLDWIDE HLDGS IN,049164205,348356,30088,OTR
ATLAS AIR WORLDWIDE HLDGS IN,049164205,354488,30617,SOLE
ATLAS AIR WORLDWIDE HLDGS IN,049164205,111110,9597,OTR
ATLAS AIR WORLDWIDE HLDGS IN,049164205,32046,2768,OTR
BLACKSKY TECHNOLOGY INC,09263B116,5100,1,OTR
BLACKSKY TECHNOLOGY INC,09263B116,16900,5,SOLE
BLACKSKY TECHNOLOGY INC,09263B116,14200,4,OTR
BRIGHTHOUSE FINL INC,10922N103,1382597,71425,OTR
BRIGHTHOUSE FINL INC,10922N103,561954,29031,OTR
BRIGHTHOUSE FINL INC,10922N103,1555285,80346,SOLE
BRIGHTHOUSE FINL INC,10922N103,137852,7121,OTR
CAPRI HOLDINGS LIMITED,G1890L107,313185,16095,OTR
CAPRI HOLDINGS LIMITED,G1890L107,368125,18918,SOLE
CAPRI HOLDINGS LIMITED,G1890L107,99490,5113,OTR
CHANGE HEALTHCARE INC,15912K100,341720,7449,OTR
CHANGE HEALTHCARE INC,15912K100,1582662,34502,SOLE
CHANGE HEALTHCARE INC,15912K100,1351123,29454,OTR
CHANGE HEALTHCARE INC,15912K100,470200,10250,OTR
CHEMOURS CO,163851108,464245,14614,OTR
CHEMOURS CO,163851108,861128,27108,SOLE
CHEMOURS CO,163851108,25539,804,OTR
CHEMOURS CO,163851108,790902,24898,OTR
CIVITAS RESOURCES INC,17888H103,130480,7791,SOLE
CIVITAS RESOURCES INC,17888H103,35448,2117,OTR
CIVITAS RESOURCES INC,17888H103,112290,6705,OTR
CNX RES CORP,12653C108,730,15,OTR
CNX RES CORP,12653C108,108386,2246,OTR
CNX RES CORP,12653C108,105074,2177,SOLE
CNX RES CORP,12653C108,8525,177,OTR
CONSOL ENERGY INC NEW,20854L108,218816,8234,OTR
CONSOL ENERGY INC NEW,20854L108,760428,28615,SOLE
CONSOL ENERGY INC NEW,20854L108,495477,18645,OTR
DANIMER SCIENTIFIC INC,236272100,371620,2178,SOLE
DANIMER SCIENTIFIC INC,236272100,33900,199,OTR
DANIMER SCIENTIFIC INC,236272100,307320,1801,OTR
DANIMER SCIENTIFIC INC,236272100,108160,634,OTR
DISCOVERY INC,25470F104,774690,19305,SOLE
